Study,Outcome,Data type,Effect measure,Domain (judgement): Bias arising from the randomization process,Domain (support): Bias arising from the randomization process,Domain (judgement): Bias due to deviations from intended interventions,Domain (support): Bias due to deviations from intended interventions,Domain (judgement): Bias due to missing outcome data,Domain (support): Bias due to missing outcome data,Domain (judgement): Bias in measurement of the outcome,Domain (support): Bias in measurement of the outcome,Domain (judgement): Bias in selection of the reported result,Domain (support): Bias in selection of the reported result,Domain (judgement): Overall bias,Domain (support): Overall bias
Bynum 2001,Patients’ satisfaction End of study,Arm level,,Some concerns,"<p>Quote: ""The participants in the study were assigned to either a telepharmacy counseling group or a control group using a random number chart.""<br>Comments: See Table 1. It is unclear about patient characteristics between the intervention and target groups.</p>",High risk,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: The study did not provide information on deviations from the intended intervention."" It is unclear whether participants felt that the intervention group was ""clearly"" better (while the intervention was better, there may be some annoyance with so many interventions), but there were also not ""clearly"" more drop-outs in the Control group. (The impact of the high number of drop-outs on both sides is assessed in Domain 3-3).<br>Comments: The number of people listed for analysis in Table 3 is less than the assignment in Fig. 1. There is no mention of missing value completion. The analysis was performed as per protocol.<br>Comments: Although not stated in the text, there was a high proportion of drop-outs.</p>",High risk,"<p>Comments: The number of missing outcomes in both groups combined is 12% (assuming at least 6% on one side).<br>Comments: No description of missing value completion. Univariate analysis only. No sensitivity analysis.<br>Comments: Intervention group: n=24→15, control group: n=25→21. IG reduction was 38%.<br>Quote: ""Three students did not attend any visit, 8 students had never used an MDI in the past (and, therefore, did not meet the inclusion criteria), and 3 students did not attend the follow-up visit for comparison.""</p>",High risk,<p>Comments: Indicators whose validity has not been assessed<br>Comments: The same measurements are used for all participants.&nbsp;</p>,High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There is no protocol, it is not pre-designed, and there are many adherence indicators in the world. Results were presented at the same measurement time as other outcomes.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although the randomisation process raised only some concerns, there was high risk in several other domains, including deviations from intended interventions, missing outcome data, outcome measurement, and selective reporting. These issues together contributed to the overall judgment of high risk of bias.</p>"
Gautier 2021,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Some concerns,"<p>Quote: “2.2. Recruitment and randomization: A computer-generated randomization procedure was used to randomly allocate pharmacists to one of two groups: those whose patients would receive the text messages signed “your pharmacist” (reminders to take their medication and advice related to diabetes: SMS group) and those whose patients would not (control group).”<br>Comments: Although there was a difference between the two MMAS-8 groups at baseline, it was determined to be coincidental and not arbitrary. There was a difference in MMAS-8 between the two groups at baseline, but no difference between the two groups except for IPAQ-SF. It was determined to be coincidental and not arbitrary.<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test: ** and *** indicate significant between-group differences with P &lt; 0.01 and P &lt; 0.002, respectively.""</p>",High risk,"<p>Comments: Because of the nature of intervention (SMS)<br>Comments: Because of the nature of intervention (SMS)<br>Comments: Not much difference between the two groups (See. Fig. 1).<br>Comments: The analysis has been carried out by per-protocol (See Fig. 1, Table 4).&nbsp;<br>Comments: The number of participants in the 6-month period after randomization is significantly smaller (See Fig. 2).</p>",High risk,"<p>Comments: The number of missing outcomes is more than 5%.&nbsp;<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test.""<br>Comments: Missing data was treated as such and no imputation of missing values was performed.&nbsp;</p>",Low risk,"<p>Comments: HbA1c is common laboratory data.<br>Comments: The measurement points are fixed.<br>Quote: “HbA1c and HDL cholesterol levels were collected during visits at 0 M, 3 M and 6 M by the pharmacists from laboratory tests performed as part of the routine monitoring of patients with T2D.”<br>Comments: HbA1c is objective general laboratory data.<br>Comments: HbA1c is objective general laboratory data.</p>",Some concerns,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: HbA1c is a common test value, although protocols are not found.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>There were high risks of bias in Domain 2 (deviations from intended interventions) and Domain 3 (missing outcome data), and some concerns in Domains 1 (randomization process) and 5 (selection of the reported result), which collectively raise serious concerns about the reliability of the study’s results.<br>Domain 1b judgement: Low. Domain 1b Support: Quote: ""No limits were placed on the number of patients that could be recruited at each pharmacy and all pharmacists were required to keep an inclusion and non-inclusion register.""</p>"
Gautier 2021,Medication adherence,Arm level,,Some concerns,"<p>Quote: “2.2. Recruitment and randomization: A computer-generated randomization procedure was used to randomly allocate pharmacists to one of two groups: those whose patients would receive the text messages signed “your pharmacist” (reminders to take their medication and advice related to diabetes: SMS group) and those whose patients would not (control group).”<br>Comments: Although there was a difference between the two MMAS-8 groups at baseline, it was determined to be coincidental and not arbitrary. There was a difference in MMAS-8 between the two groups at baseline, but no difference between the two groups except for IPAQ-SF. It was determined to be coincidental and not arbitrary.<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test: ** and *** indicate significant between-group differences with P &lt; 0.01 and P &lt; 0.002, respectively.""</p>",,,,,,,,,,
Gautier 2021,Medication adherence 3 months,Arm level,,Some concerns,"<p>Quote: “2.2. Recruitment and randomization: A computer-generated randomization procedure was used to randomly allocate pharmacists to one of two groups: those whose patients would receive the text messages signed “your pharmacist” (reminders to take their medication and advice related to diabetes: SMS group) and those whose patients would not (control group).”<br>Comments: Although there was a difference between the two MMAS-8 groups at baseline, it was determined to be coincidental and not arbitrary. There was a difference in MMAS-8 between the two groups at baseline, but no difference between the two groups except for IPAQ-SF. It was determined to be coincidental and not arbitrary.<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test: ** and *** indicate significant between-group differences with P &lt; 0.01 and P &lt; 0.002, respectively.""</p>",,,,,,,,,,
Gautier 2021,Medication adherence 6 months,Arm level,,Some concerns,"<p>Quote: “2.2. Recruitment and randomization: A computer-generated randomization procedure was used to randomly allocate pharmacists to one of two groups: those whose patients would receive the text messages signed “your pharmacist” (reminders to take their medication and advice related to diabetes: SMS group) and those whose patients would not (control group).”<br>Comments: Although there was a difference between the two MMAS-8 groups at baseline, it was determined to be coincidental and not arbitrary. There was a difference in MMAS-8 between the two groups at baseline, but no difference between the two groups except for IPAQ-SF. It was determined to be coincidental and not arbitrary.<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test: ** and *** indicate significant between-group differences with P &lt; 0.01 and P &lt; 0.002, respectively.""</p>",,,,,,,,,,
Gautier 2021,Medication adherence End of study,Arm level,,Some concerns,"<p>Quote: “2.2. Recruitment and randomization: A computer-generated randomization procedure was used to randomly allocate pharmacists to one of two groups: those whose patients would receive the text messages signed “your pharmacist” (reminders to take their medication and advice related to diabetes: SMS group) and those whose patients would not (control group).”<br>Comments: Although there was a difference between the two MMAS-8 groups at baseline, it was determined to be coincidental and not arbitrary. There was a difference in MMAS-8 between the two groups at baseline, but no difference between the two groups except for IPAQ-SF. It was determined to be coincidental and not arbitrary.<br>Quote: ""Differences between groups were assessed using the Mann-Whitney U test: ** and *** indicate significant between-group differences with P &lt; 0.01 and P &lt; 0.002, respectively.""</p>",High risk,"<p>Comments: Because of the nature of intervention (SMS)<br>Comments: Because of the nature of intervention (SMS)<br>Comments: Not much difference between the two groups (See. Fig. 1).<br>Comments: The analysis has been carried out by per-protocol (See Fig. 1, Table 4).&nbsp;<br>Comments: The number of participants in the 6-month period after randomization is significantly smaller (See Fig. 1).&nbsp;</p>",High risk,"<p>Comments: The number of missing outcomes is more than 5%.&nbsp;<br>Quote: ""Between-group differences were assessed using the Wilcoxon rank tests""<br>Comments: Missing data was treated as such and no imputation of missing values was performed.&nbsp;</p>",High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed.<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.<br>Comments: Because of the Morisky Medication Adherence Questionnaire, the outcome assessors were the participants.</p>",High risk,"<p>Comments: There is no protocol, it is not pre-designed.<br>Comments: There were various measures of medication adherence, and there was not a priori protocol. There are multiple measurement points, but as with other outcomes, the final measurements were 6 months.<br>Comments: Univariate analysis only, but no prior protocol.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>There were high risks of bias identified in the randomization process (Domain 2), deviations from intended interventions (Domain 3), measurement of the outcome (Domain 4), and selection of the reported result (Domain 5), which substantially undermine the reliability of the study findings. Although there were some concerns in Domain 1, the timing of participant identification or recruitment (Domain 1b) was judged to be at low risk of bias.<br>Domain 1b judgement: Low. Domain 1b Support: Quote: ""No limits were placed on the number of patients that could be recruited at each pharmacy and all pharmacists were required to keep an inclusion and non-inclusion register.""</p>"
Gonzales 2021,Drug-related problems End of study,Arm level,,Low risk,"<p>Quote: ""randomized by research personnel using a random number generator in a simple blocked manner (blocks of eight) into one of the two study arms.""</p>",Low risk,"<p>Quote: ""This was a single-center, 12-month, parallel, two-arm, single-blind, 1:1 randomized controlled clinical trial"", ""Only study coordinators and clinical pharmacists assessing medication errors, AEs, and clinical outcomes were blinded to study assignment.""<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better, but there are also not ""clearly"" more drop-outs in the control group.&nbsp;<br>Quote: ""This analysis utilized intent-to-treat methodology.""</p>",Low risk,<p>Comments: Missing data is less than 5% in both groups.</p>,Low risk,"<p>Quote: ""AE type and severity were defined using the Common Terminology Criteria for Adverse Events"", ""Data on medication errors, AEs, and clinical outcomes were collected by blinded study coordinators and clinical pharmacists, who did not have access to the randomization module within the electronic case report form system"".<br>Quote: ""AE type and severity were defined using the Common Terminology Criteria for Adverse Events"", ""Data on medication errors, AEs, and clinical outcomes were collected by blinded study coordinators and clinical pharmacists, who did not have access to the randomization module within the electronic case report form system"".<br>Quote: ""Only study coordinators and clinical pharmacists assessing medication errors, AEs, and clinical outcomes were blinded to study assignment.""</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.</p>,Low risk,"<p>The overall risk of bias was judged to be low, as all domains were assessed as having a low risk of bias.</p>"
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",Low risk,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: See Fig. 1. Per-protocol analysis.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,Low risk,"<p>Comments: The measurement points are fixed. General test values.<br>Comments: The measurement points are fixed, although there is not found the protocol or registry information.<br>Comments: No mention of blinding.<br>Comments: HbA1c.</p>",Some concerns,<p>Comments: Protocols and study registry information cannot be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: It is common to use HbA1c as an outcome for diabetes.<br>Comments: Univariate analysis only.</p>,Some concerns,"<p>The overall risk of bias was judged to be of some concern.<br>This judgment reflects some concerns regarding the randomisation process and potential bias in selection of the reported result, although all other domains were judged to be at low risk of bias.</p>"
Hoda 2023,Medication adherence,Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Hoda 2023,Medication adherence 3 months,Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Hoda 2023,Medication adherence End of study,Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: See Fig. 1. Per-protocol analysis.<br>Comments: The number of people excluded from analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,High risk,"<p>Comments: The measurement points are fixed. But this indicator is not mentioned in this article. Confirming with the author about this medication adherence scale.<br>Comments: The measurement points are fixed, although there is not found the protocol or registry information.<br>Comments: No mention of blinding.<br>Comments: Although the adherence indicator was unclear, it is likely to be a self-reported scale.</p>",High risk,<p>Comments: Protocols and study registry information can not be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: There are existed the indicators of medication adherence scales or scores in the world. Protocol and registry information are not identified.<br>Comments: Univariate analysis only.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>Although most domains were judged to be at low risk of bias or with some concerns, there were high risks of bias identified in Domain 4 (Bias in measurement of the outcome) and Domain 5 (Bias in selection of the reported result), which critically affect the credibility of the study’s results.</p>"
Hoda 2023,Patients’ quality of life,Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Hoda 2023,Patients’ quality of life End of study,Arm level,,Low risk,"<p>Quote: ""Randomization was performed using an online portal called ""RANDOMIZER"" and each participant was assigned a unique number. The allocation information was concealed from the recruiting investigator until after the participant was enrolled. This was achieved by sealing individual slips with participant numbers and their group assignments in envelopes, which were opened only after recruitment.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: See Fig. 1. Per-protocol analysis.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed, although there is not found the protocol or registry information.<br>Comments: No mention of blinding.<br>Comments: self-reported scale.</p>",High risk,<p>Comments: Protocols and study registry information cannot be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: There are existed the indicators of QoL scores in the world. Protocol and registry information are not identified.<br>Comments: Univariate analysis only.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>Despite low risk or some concerns in most domains, the presence of high risk of bias in Domain 4 (bias in outcome measurement) and Domain 5 (bias in selection of the reported result) substantially limits the confidence in the study findings.</p>"
