Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Functional outcomes,Domain (support): Blinding of outcome assessment (detection bias): Functional outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Radiological outcomes,Domain (support): Blinding of outcome assessment (detection bias): Radiological outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Gan 2015,Unclear risk,<p>Process not explained</p>,Unclear risk,<p>Process not explained</p>,Unclear risk,<p>Process not explained</p>,Unclear risk,<p>Process not explained</p>,Low risk,<p>Surgeon blinded to technique</p>,Low risk,<p>No incomplete data for length of follow-up noted</p>,Unclear risk,<p>Incomplete outcome reporting</p>,Low risk,<p>None detected</p>
Giannotti 2019,High risk,"<p>From April 2015 to September 2016, 40 patients (40 knees) were included in the randomisation process. Unclear description of randomisation process</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None</p>
Hamilton 2013,Unclear risk,"<p>Quote from study: ""Each patient was randomly assigned to either the control group .......or the study group"".</p><p>Method used for random sequence generation was not reported.</p>",High risk,<p>Not reported</p><p>The baseline demographic data showed a significantly higher percentage of males in the intervention group (54% vs 27%).</p><p>Comment- Possibility of selection bias is high.</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>Functional outcome measures not reported in this study</p>,Unclear risk,"<p>Quote from study: ""Limb and component alignment were measured for all cases on radiographs postoperatively"".</p><p>Comment: Whether the blinding of the assessor was performed is unclear</p>",Low risk,"<p>Quote from study: ""Of the 78 patients initially enroled in the study, 26 were excluded from the study after randomisation"".</p><p>Comment: However, an equal number of participants in each arm (26) completed the trial.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Hampton 2022,Low risk,"<p>After exclusions, 88 patients (90 knees) consented to inclusion in the trial and were randomised to the treatment method by block randomisation.</p>",Unclear risk,<p>Not reported</p>,Low risk,"<p>Investigators were blinded to the randomisation block size, and patients were blinded to the treatment arm throughout the study. All patients underwent MRI scans irrespective of their designated treatment arm.</p>",Low risk,"<p>Patients were followed up by dedicated arthroplasty research nurses at each hospital, who were also blinded to the patient’s treatment arm.</p>",Low risk,<p>The measurements were performed independently by 2 orthopaedic surgeons who were not involved in the surgical procedures and who were also blinded to the type of surgery performed.</p>,Unclear risk,"<p>Dropout rate PSI group, N = 7 (15.5%), control group N = 6 (13.3%). Not unacceptably high for 5-year follow-up</p>",Unclear risk,<p>All outcomes discussed in methodology were reported.</p>,Low risk,<p>Not detected</p>
Huijbregts 2016,Low risk,"<p>Quote from study: ""A website was used for computer-generated permuted block lists of randomisation"".</p>",Low risk,"<p>Quote from study: ""The randomisation sequence and block size were concealed from the surgeons"".</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from study: ""A protocol-trained CT technician who was blinded to the form of treatment performed the measurements"".</p>",Unclear risk,"<p>Number of patients who did not have complete functional outcome scores at 12 months follow-up:</p><ul><li data-list-item-id=""e86f7cb4cf1a4d2b6db37dbdca6f9dde6"">Intervention group: 11/75 (14.7%)</li><li data-list-item-id=""e4bf3c1278dfed85968d54227ef3962d3"">Control group: 7/65 (10.8%)</li></ul><p>However, dropouts were different for each of the functional outcomes measured and data for radiological outcomes did not indicate a significant difference in dropouts.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Kosse 2017,Low risk,<p>Block randomisation lists were computer-generated by an independent researcher; block size was ten with equal allocations to the PSI and CI groups.</p>,Low risk,<p>The randomisation sequence was concealed from the patient prior to enrolment until 12 months postoperatively.</p>,Unclear risk,"<p>This study was a single-centre, patient-blinded, randomised controlled trial.</p>",High risk,"<p>Due to logistical reasons, it was not possible to blind the research nurse, which might have biased the clinical assessments.</p>",Unclear risk,"<p>One researcher, blinded to group allocation, performed all radiological assessments.</p>",Low risk,<p>No dropouts</p>,Low risk,<p>All outcomes discussed in methodology reported</p>,Low risk,<p>None</p>
Kotela 2014,Unclear risk,"<p>Quote from study: ""Participants were divided into two groups using a simple randomisation procedure.""</p>",High risk,"<p>Quote from study: ""There was some room for bias in the study, as the first author was a member of the surgical team in all cases .... he would know the group they were assigned to"".</p>",Unclear risk,<p>Not reported</p>,High risk,"<p>Quote from study: ""There was some room for bias in the study, as the first author was a member of the surgical team in all cases and cared for the patients after the procedure.... he would know the group they were assigned to during the clinical examination"".</p>",Low risk,"<p>Quote from study: ""Radiographs were assessed by an independent orthopaedic surgeon for two angle measurements. The observer was blinded to surgical technique.""</p>",High risk,"<p>Dropouts: 17/112 (15.2%)</p><ul><li data-list-item-id=""eaed2a1c3086fabb2c4bb978af24116ed"">Intervention group: 3/52 (5.8%)</li><li data-list-item-id=""e2dc183baffe4844b27c6a841df997d15"">Control group: 14/60 (23.3%)</li></ul><p>Comment: Due to unequal dropout rates, there is high risk of attrition bias.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Liao 2024,Low risk,<p>Computer-generated blocked randomisation</p>,Unclear risk,<p>Computer-generated blocked randomisation</p>,Unclear risk,<p>Assessors unaware of block size during computer-generated block randomisation </p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None</p>
Lionberger 2014,Unclear risk,"<p>Not reported. Quote from the study: ""Sixty patients were randomised to ....""</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from study: ""Radiographs were read and calculated by three blinded interpreters"".</p>",Low risk,"<p>According to CONSORT diagram, two patients were lost to follow-up in one of the arms. The rest of all patients contributed to outcome measurements.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None</p>
Maus 2018,Low risk,<p>The randomisation was made centrally with a random computer generator via the website. Each of the recruiting surgeons in all six centres used an individual password to assess the randomisation system.</p>,Unclear risk,<p>The surgeon received the information on which group the patient was allocated to and a case number was provided under which all relevant study data of the patient were anonymously collected.</p>,High risk,<p>Not possible</p>,Unclear risk,<p>Not reported</p>,High risk,<p>The assessors were not blinded.</p>,Unclear risk,"<p>PSI N = 2 (3.4%), control N = 1 (1.5%)</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Molicnik 2015,Unclear risk,"<p>Quote from the study: ""were randomly assigned to one of two groups (1:1)""</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,High risk,<p>This was an open-label study and the outcome measures used were patient-reported.</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>All the participants contributed to the outcomes reported in the trial.</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Noble 2012,Unclear risk,"<p>Quote from study: ""Thirty-eight primary TKA patients were randomly assigned to 1 of 2 groups (1:1)"" but the method used for random sequence generation was not reported.</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>Functional outcome measures not reported in this study</p>,Unclear risk,<p>Not reported</p>,High risk,"<p>Dropouts: 9/38 (23.7%)</p><p>Quote from study: ""... 4 of 19 STD (control group) patients were preoperatively withdrawn from the study before operation...... 5 patients were excluded from study because of protocol deviation (BMI &gt; 40 kg/m<sup>2</sup>)"".</p>",Low risk,<p>All important outcome measures mentioned in the methodology section of the paper and the trial registration document were reported.</p>,Unclear risk,<p>The study was sponsored by Smith &amp; Nephew Inc.</p>
Ollivier 2016,Low risk,"<p>Quote from the study: ""Knees were allocated according to a permuted block randomisation Program.""</p>",Low risk,"<p>Quote from the study: ""The patients and the surgeons were notified a few days before the surgery"".</p>",Unclear risk,<p>This was a open-label study.</p>,Low risk,<p>Functional outcome measures not reported in this study</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from study: ""The use of the custom instrumentation was abandoned intraoperatively in seven knees"".</p><p>However, outcomes for these participants were reported separately.</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Parratte 2013,Low risk,<p>Randomisation of patients into one of the two groups was done by the Hospital Informatics Department with the use of a systematic sampling method.</p>,Low risk,"<p>Allocation concealed in numbered, sealed envelopes</p>",Low risk,"<p>Adequately blinded, randomisation not revealed to authors</p>",Low risk,<p>Outcome not measured</p>,Low risk,<p>Two observers blinded</p>,Low risk,<p>No known incomplete outcome data</p>,Unclear risk,<p>Not all outcomes were reported</p>,Low risk,<p>None detected</p>
Pfitzner 2014,Low risk,"<p>Quote from study: ""An independent participant (KW) completed the randomisation process"".</p><p>Comment: Although the random sequence generation method was not reported, the use of sealed envelopes in concealing allocation suggests that the unpredictability of randomisation was preserved.</p>",Low risk,"<p>Quote from study: ""....and sealed envelopes were used"".</p>",Unclear risk,<p>This was an open-label study.</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from study: ""The radiologic measurements (radiographs and CT) were performed by an experienced investigator (TP) blinded to the patients’ allocation"".</p>",Low risk,"<p>Quote from study: ""After inclusion, no patients were lost to follow-up, and complete datasets were obtained for all patients"".</p>",Low risk,"<p>Not prospectively registered. However, all the outcome measures mentioned in the methodology were reported.</p>",Low risk,<p>None detected</p>
Pietsch 2014,Low risk,"<p>Quote from study: ""Patients were randomised 8 weeks before surgery by sealed envelopes to receive either the custom-fit pin guide or standard procedure.""</p>",Low risk,"<p>Quote from study: ""Patients were randomised 8 weeks before surgery by sealed envelopes"".</p>",Unclear risk,<p>This was an open-label study.</p>,Low risk,"<p>Quote from study: ""Two independent, blinded observers (FP, ChZ) performed all measurements.""</p>",Unclear risk,<p>Not reported</p>,Low risk,<p>All the patients who received the allocated intervention contributed to the outcome measurement.</p>,Low risk,"<p>Not prospectively registered. However, all the outcome measures mentioned in the methodology were reported.</p>",Low risk,<p>None</p>
Qiu 2017,High risk,"<p>Quote from study: ""Twenty-eight patients were initially evaluated and 26 of them were randomly selected according to such inclusion criteria.""</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>None detected</p>,Low risk,<p>None detected</p>
Randelli 2019,Low risk,<p>Block randomisation was performed to allocate patients to treatment or control group. A random allocation list with 4 patients per block was generated by an investigator involved neither in patient enrolment nor in data analysis.</p>,Low risk,<p>The investigator concealed the sequence in sequentially numbered sealed envelopes until interventions were assigned.</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Dropout rate of 13% (9/69). Treatment group: 3 patients declined surgery for personal reasons, 1 had problems with CT reconstructions, 1 had non-sterile tibial guide, 1 was lost to follow-up. Control group: 1 patient declined surgery for personal reasons, 1 lost to follow-up</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Unclear risk,<p>Study only adequately powered to detect differences in femoral component rotation but not to investigate alignment on other planes.</p>
Roh 2013,Low risk,"<p>Quote from study: ""Knees were allocated according to permuted block randomisation program"".</p>",Unclear risk,"<p>Quote from study: ""... the patient and the surgeon were notified a few days before the surgery"".</p>",Unclear risk,<p>Open-label study</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>All the participants who were randomised contributed to outcome measurement. Although there was a dropout rate of 10%, a quote from the study stated: ""We also performed an intention-to-treat analysis ..... There were no significant differences between this analysis and the one described in the previous paragraph (per protocol analysis)"".</p>",Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Sariali 2019,Low risk,<p>Block randomisation was performed to allocate patients in the treatment (PSI) or control group.</p>,Low risk,<p>Sequence concealed in sequentially numbered sealed envelopes</p>,Low risk,<p>All patients were blinded to the randomisation results.</p>,Low risk,<p>All the assessments were fully blinded in relation to the groups.</p>,Low risk,<p>Radiographic assessor was blinded to treatment allocation.</p>,Low risk,<p>No patients lost to follow-up</p>,Low risk,<p>All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Silva 2014,Unclear risk,"<p>Quote from study: ""The patients were prospectively randomised into two groups"".</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Open-label study</p>,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote from study: "".... reviewed by a musculoskeletal radiologist blind to the group the subject was in""</p>",Low risk,<p>All the participants contributed to the outcomes reported in the trial.</p>,Low risk,<p>Not prospectively registered. All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Stolarczyk 2018,Low risk,<p>Randomisation was performed using a computer-generated random number list that was prepared by an investigator who had no clinical involvement in the trial.</p>,Low risk,<p>The sequence was concealed until all data were analysed.</p>,Unclear risk,<p>The methodology of the study precluded the possibility of a blinded patient-surgeon relationship.</p>,High risk,<p>The assessors were not blinded.</p>,Low risk,<p>The radiologist who assessed the degree of rotation in the femoral and tibial components was blinded concerning the technique used in a given patient.</p>,Low risk,"<p>Number lost to follow-up intervention group: N = 1 (3.3%), control group: N = 1 (3.3%)</p>",Low risk,<p>All outcomes reported</p>,Low risk,<p>None detected</p>
Sun 2020,Low risk,"<p>Patients assigned to two groups by random number table method, 40 cases in each group</p>",Unclear risk,<p>Not reported</p>,Low risk,<p>Patients were unaware of the use of PSI during TKA.</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not specifically reported</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>None detected</p>
Tammachote 2018,Low risk,"<p>Quote from study: ""A randomisation list was computer-generated using block of four randomisation"".</p>",Low risk,"<p>Quote from study: ""Each randomisation card was placed in a sealed, opaque envelope that was opened by a study nurse after enrolment to reveal the surgical assignment"".</p>",Unclear risk,<p>Not specified</p>,Unclear risk,<p>Not specified</p>,Low risk,"<p>Quote from study: ""Investigators who were arthroplasty fellowship trained and blinded to treatment allocation measured all of these (radiological) parameters"".</p>",Low risk,"<p>Loss to follow-up in control group 2 due to other medical issue</p><p>In the intervention group, 1 did not receive PSG as the patient refused to wait, 2 discontinued intervention (1 infection, 1 periprosthetic fracture of knee)</p><p>Data analysed for 51 in each group.</p><p>Dropout rate = 5.6 % (3/54)</p>",Low risk,<p>Not prospectively registered. All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Teeter 2019,Low risk,<p>Block randomisation was performed using concealed envelopes: the randomisation was carried out by the clinical study co-ordinators.</p>,Low risk,<p>Block randomisation was performed using concealed envelopes: the randomisation was carried out by the clinical study co-ordinators.</p>,Unclear risk,<p>The nature of the instrumentation made it impossible to blind the surgeon to which technique was being used.</p>,Unclear risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Unclear risk,"<p>Dropouts: Intervention 5/25 (20%), control 3/25 (12%)</p>",Low risk,<p>All outcomes reported</p>,Low risk,<p>None</p>
Turgeon 2019,Low risk,<p>Randomisation was done in a block design stratified by 1 of the 4 participating surgeons to ensure equal distribution between the 2 surgical techniques by surgeon.</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>Participants were blinded to group assignment and surgical technique. All participants underwent preoperative MRI assessment to ensure that blinding was maintained.</p>,Low risk,<p>All observations were made by an observer who was blinded to patient group assignment and surgical technique.</p>,Low risk,<p>All observations were made by an observer who was blinded to patient group assignment and surgical technique.</p>,Low risk,"<p>Dropouts: Intervention N = 0, control group N = 1 (3.4%)</p>",Low risk,<p>All outcomes discussed in methodology reported</p>,Low risk,<p>None detected</p>
Van Leeuwen 2018,Low risk,"<p>After receiving written consent, block randomisation was obtained by variable block sizes.</p>",Low risk,"<p>All patients were referred for a preoperative MRI (according to the Signature™ scanning protocol; Signature MRI Inc., Monrovia, CA, USA) so that they did not know which type of operation they would receive.</p>",Low risk,"<p>All patients were referred for a preoperative MRI (according to the Signature™ scanning protocol; Signature MRI Inc., Monrovia, CA, USA) so that they did not know which type of operation they would receive.</p>",Unclear risk,<p>Not specified</p>,Unclear risk,<p>Not specified</p>,High risk,"<p>Excluded (n = 15): double randomisation, 2; MRI artifacts, 1; not operated, 5; included by hospital not participating in the study, 2; operated but not included, 1; declined to participate, 3; PSPG guides delivered to wrong hospital, 1</p>",Low risk,<p>The trial is registered at ClinicalTrials.gov (NCT01696552). All outcomes reported</p>,Unclear risk,"<p>Total number of included patients was lower than planned (1 centre withdrew from the study). Therefore, the study was underpowered for the KOOS as we calculated a need for 63 patients in each group. However, the study was sufficiently powered for radiological alignment.</p>"
Victor 2014,Low risk,"<p>Quote from study: ""Patients were randomised into two cohorts .... In the PSG cohort, PSG designs were from four different TKA suppliers (Subgroups PSG 1-4, ....)... this subgrouping was not randomised for logistic reasons; the use of the different systems was consequently consecutive"".</p><p>Comment – Although the random sequence generation method was not reported, the use of sealed envelopes in concealing allocation suggests that the unpredictability of randomisation was preserved.</p>",Low risk,"<p>Quote from study: ""...the nurse opened the sealed randomisation envelope.""</p>",Unclear risk,<p>Open-label study</p>,Low risk,<p>Functional outcome measures were not reported in this study.</p>,Low risk,"<p>Quote from study: ""Radiographs and CT scans were measured by an investigator who was blinded to the allocation of the patient"".</p>",Low risk,<p>Dropouts 3/128 (2.3%)</p>,Low risk,<p>Not prospectively registered. All the outcome measures mentioned in the methodology were reported.</p>,Low risk,<p>None detected</p>
Vide 2017,Low risk,"<p>Quote from study: ""Patients were randomised into two cohorts of 50 patients each, using the Rand formula from Microsoft Excel version 14.1.0"".</p>",Unclear risk,<p>Open-label study</p>,Unclear risk,<p>Not blinded</p>,Unclear risk,<p>Not analysed</p>,Low risk,"<p>Deviations from the neutral mechanical axis—0° tibiofemoral angle (TFA), were registered independently and blindly by two authors (JPS, JV), with negative values for varus alignments and positive for valgus.</p><p>The authors collecting the data relative to the coronal alignment, blood loss, transfusions and LOS, were unaware of the type of instrumentation<br />used.</p>",Low risk,<p>None reported</p>,Low risk,<p>None</p>,Unclear risk,<p>No power analysis or sample size calculation was performed.</p>
Vundelinckx 2013,High risk,"<p>Quote from study: ""The randomisation process was carried out in a 1:1 fashion; 1 patient allocated to the Visionaire group, consequently 1 patient to the control group, and so on… the only exclusion criteria[um] for allocation to the Visionaire group (intervention group) was a severe obesity"".</p><p>Quote from the study: ""4 patients refused further follow-up in the study because of different reasons.... Those patients were replaced by others, to maintain the same number of patients in both groups. This selection was consequently done"".</p><p>Comment – As high BMI is known to result in poor outcomes following TKA, there is a probable high risk of selection bias.</p>",High risk,<p>See above</p>,Unclear risk,<p>Open-label study</p>,High risk,<p>Open-label study with inadequate allocation concealment and patient reported outcome measures</p>,Low risk,"<p>Quote from study: ""The clinical and radiological evaluation was performed by an independent physician who had not participated in the surgical procedure"".</p><p>Comment – Although it was not explicitly mentioned whether this assessor was blinded, the risk of detection bias was probably low.</p>",Unclear risk,"<p>Quote from the study: ""4 patients refused further follow-up in the study because of different reasons.... Those patients were replaced by others, to maintain the same number of patients in both groups. This selection was consequently done"".</p>",Low risk,"<p>Not prospectively registered. However, all the outcome measures mentioned in the methodology were reported.</p>",Low risk,<p>None detected</p>
