Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Bahrami 2004,Low risk,<p>Computer random number table</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Data extractor was blinded.</p>,Low risk,"<p>Less than 10% dropout, spread among groups</p>",Unclear risk,<p>Unable to assess</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Clustering taken into account in analysis</p>,Low risk,<p>Low risk across all important domains</p>
Baker 1997,Low risk,<p>Random-number table</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",High risk,<p>Unable to blind second abstractor</p>,Low risk,<p>Data from all 18 practices</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Logistic regression with random-effects in the linear predictor</p>,High risk,<p>Due to blinding</p>
Baker 2003a,Low risk,<p>Random number table</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>No sites lost to follow-up</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>GPs work separately</p>,Low risk,<p>Generalised estimating equation</p>,Low risk,<p>Low risk across all important domains</p>
Baker 2003b,Low risk,<p>Random number table</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>No sites lost to follow-up</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>GPs work separately</p>,Low risk,<p>Generalised estimating equation</p>,Low risk,<p>Low risk across all important domains</p>
Baker 2003c,Low risk,<p>Computer-generated for allocation</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Data collectors blinded</p>,Low risk,<p>All practices completed study.</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Separate practices</p>,High risk,<p>Two-sample t-test</p>,High risk,<p>Due to incorrect analysis</p>
Baker 2003d,Low risk,<p>Computer-generated for allocation</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Data collectors blinded</p>,Low risk,<p>All practices completed study.</p>,Low risk,<p>Appropriate outcomes reported.</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Separate practices</p>,High risk,<p>Two-sample t-test</p>,High risk,<p>Due to incorrect analysis</p>
Balas 1998,Low risk,<p>Computer-generated randomisation</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Data collectors blinded</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Two-sample Student's t test</p>,High risk,<p>Due to incorrect analysis</p>
Baldwin 2010,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Not specifically reported but based on study flow diagram; it appears all clusters allocated centrally at one time.</p>,High risk,"<p>Data were collected at all time points by a researcher (NB) who was not blinded to treatment allocation. Although authors stated that an independent nurse blinded to treatment allocation also collected data, this was done only in 2 randomly selected houses at each time point.</p>",Low risk,<p>The number of participant who dropped out from the study were similar across groups and reasons for withdrawal were similar across groups.</p>,Low risk,<p>The trial was not registered and no study protocol was found; however all outcomes specified in the methods were analysed and reported.</p>,Low risk,"<p>Study investigators stated that new participants were added to the study at each data collection point; however, results were presented separately for those recruited at baseline and those added later.</p>",Low risk,"<p>Pair-matched randomisation done, no baseline imbalances between groups</p>",Low risk,<p>There was no evidence of any contamination between the intervention and control homes.</p>,Low risk,<p>Investigators accounted for clustering in the analysis.</p>,High risk,<p>Due to blinding</p>
Barkun 2013,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Central allocation</p>,Low risk,"<p>It's not clear whether assessors were blinded, but they collected chart data of objective measures, so it's low risk if they were not.</p>",Low risk,<p>Dropouts appear balanced with reasons reported. ITT analysis was used.</p>,Low risk,<p>Both primary and secondary outcomes match trial registration data (https://clinicaltrials.gov/ct2/show/NCT00840008).</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,<p>Baseline is reasonably balanced and well reported. Analyses adjusted for some baseline variables</p>,Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Unclear risk,"<p>Authors investigated cluster-level differences, but unclear if analyses presented were adjusted for clustering.</p>",Low risk,<p>Low risk across all important domains</p>
Batty 2001,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>Data from all 17 hospitals</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",High risk,"<p>Figure 2, variability at baseline between groups</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>Logistic regression and estimates of standard errors of odds ratios in regression model adjusted for clustering</p>,High risk,<p>Due to baseline imbalance</p>
Beck 2005,Low risk,<p>Computer-generated randomisation</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Data collected from database</p>,Low risk,<p>No evidence of attrition</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of contamination</p>,Low risk,<p>Adjusted odds ratios were calculated using generalised estimating equation extensions of logistic regression procedures for cluster-randomised trials.</p>,Low risk,<p>Low risk across all important domains</p>
Beeckman 2013,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>Not specifically reported but based on study flow diagram, it appears all clusters were allocated at the same time.</p>",High risk,<p>All outcome assessors (health professionals and research personnel) were aware of allocations and outcomes have a subjective element.</p>,Unclear risk,"<p>Overall, flow of participants (patients and health professionals) was not reported or discussed.<br>Patients: insufficient reporting of missing outcome data and not discussed.<br>Health professionals: some loss to follow-up evident from the data reported for knowledge and attitude. Attrition not described or discussed</p>",Low risk,<p>All prespecified outcomes were reported at prespecified time points (according to Methods).&nbsp;<br>*No trial registration or protocol linked</p>,Low risk,"<p>When wards were allocated to intervention/control, all health professionals involved in pressure ulcer prevention and all residents in that ward were included. There was unlikely to be recruitment made for the study, and no physicians refused the eligible residents be contacted; thus, there is unlikely to have been any bias introduced into participant recruitment.</p>",Unclear risk,<p>Some baseline imbalances in gender (nursing home residents and health professionals) but not discussed so it is unclear if this reflects different populations in some wards.</p>,High risk,"<p>11 wards in 4 nursing homes randomised. The trial explicitly reports that: ""clustering took place at ward level to prevent possible cross-contamination of the study groups"", however, this means that a nursing home could have both experimental and control wards within it. There is a high potential for bias from contamination as there are both experimental and control arms in the same nursing home.</p>",Unclear risk,"<p>Authors described that analysis was performed at the ward level, but this is not described enough to assess whether appropriate analysis was performed.</p>",High risk,<p>Due to blinding and protection against contamination</p>
Belcher 1990,Unclear risk,<p>Randomisation method not described</p>,Unclear risk,"<p>It is unclear if all clusters were assigned at the same time, and there was no study flow diagram.</p>",Unclear risk,<p>Not enough information about outcome assessment processes</p>,Unclear risk,"<p>Attrition by year 5 appeared balanced between groups (28-35%); however, reasons for attrition not reported so unable to determine if missing data were balanced as the numbers missing were not insubstantial.</p>",Low risk,"<p>No protocol or trial registration available, however, all outcomes in methods were reported in the results.</p>",Low risk,<p>No evidence of enrolment post-randomisation</p>,Low risk,<p>No significant differences in baseline measures</p>,Low risk,<p>Subjects assigned to non-HPC groups were not accepted by the HPC staff.</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unclear risk across important domains</p>
Bentz 2007,Low risk,"<p>Quote ""clinics matched and randomized""</p>",Low risk,"<p>Cluster trial, recruitment not influenced by allocation</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>No evidence of attrition</p>,Low risk,<p>Appropriate outcomes accounted for</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,"<p>Clinics comparable, see Table 1</p>",Low risk,<p>No evidence of contamination</p>,Low risk,<p>Generalised estimating equations to accommodate cluster-level covariates</p>,Low risk,<p>Low risk across all important domains</p>
Bertoni 2009,Unclear risk,<p>Randomisation method not described</p>,Low risk,"<p>According to the study flow diagram, it appears likely all clusters were allocated at the same time.</p>",Low risk,<p>Medical record abstractors were blind to the allocation.</p>,Low risk,<p>Practices lost to follow-up were balanced between groups.</p>,Low risk,<p>All outcomes appear to be reported but no protocol available to check against</p>,Low risk,<p>Recruitment occurred prior to randomisation.</p>,Low risk,"<p>No important differences in # of practices, patients. Differences in # of providers, but we don't think this is important.</p>",Low risk,"<p>Not blinded, but randomised by practice. Unlikely practices communicating to contaminate</p>",Unclear risk,"<p>No clustering at the level of the practitioner, only the practice. Although reasons explained, it is unclear what effect this might have had.</p>",Low risk,<p>Low risk across all important domains</p>
Bhatia 2014,Low risk,<p>Random number generator used to divide fellows and residents into control or intervention groups</p>,Unclear risk,<p>No information on allocation concealment</p>,Low risk,<p>Blinding of assessors and unlikely blinding could have been broken.</p>,Low risk,<p>It appears that all outcomes were reported for one group (cardiology fellows) and that additional data were reported online only for residents.</p>,Low risk,"<p>No study register or protocol - however, it appears that all expected outcomes listed in methods were reported in the results.</p>",Low risk,<p>No evidence of recruitment after randomisation</p>,High risk,<p>Patients in intervention group had higher rates of previous myocardial infarction and hospitalisation in the last year.</p>,Unclear risk,"<p>In a single-site study, there may have been cross communication between physicians in training.</p>",Low risk,<p>Clustering accounted for in analysis</p>,High risk,<p>Due to baseline imbalances</p>
Bhatia 2017,Low risk,<p>Randomisation sequence likely adequate as a data manager was in charge of random sequence</p>,Low risk,<p>As per flow chart and a central body determining randomisation and allocation; allocation was likely concealed.</p>,Low risk,<p>Outcome assessors were blinded to allocation.</p>,Low risk,<p>ITT used in analysis. Losses and missing outcomes also balanced and explained.</p>,Low risk,<p>Consistent measures with registered protocol - https://www.clinicaltrials.gov/ct2/show/study/NCT02038101?cond=NCT02038101&amp;draw=2&amp;rank=1</p>,Low risk,<p>Unlikely physicians recruited to the trial after randomisation</p>,Unclear risk,<p>Unclear if there were important differences characteristics between groups. Stratification was used to reduce risk of imbalance.</p>,Unclear risk,<p>Physicians allocated within each service and possible that communication between groups may have occurred.</p>,Low risk,<p>Clustering taken into account in analysis</p>,Low risk,<p>Low risk across all important domains</p>
Blais 2008a,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Administrative data used</p>,Low risk,<p>Dropouts comparable in both groups (p. 229)</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,<p>Table 2 and Table 3</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Did not account for clustering</p>,High risk,<p>Due to incorrect analysis</p>
Blais 2008b,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Low risk,<p>Administrative data used</p>,Low risk,<p>Dropouts comparable in both groups (p. 229)</p>,Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Low risk,<p>Table 2 and Table 3</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Did not account for clustering</p>,High risk,<p>Due to incorrect analysis</p>
Bloos 2017,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Likely that clusters were randomised and allocated centrally at one time (based on flow chart)</p>,Low risk,"<p>Outcome data recorded in and collected from electronic records, so unlikely subject to bias</p>",Low risk,<p>The loss of clusters was reasonably balanced with reasons that do not appear related to the intervention. Missing outcome data were also balanced. ITT analysis was used.</p>,Unclear risk,"<p>Appears to have been missing data on reporting of length of stay; however, this was not necessarily a key focus on the study.</p>",Low risk,<p>There was no evidence that other hospitals were recruited following randomisation.</p>,Low risk,<p>Some baseline imbalances but analyses adjusted for baseline imbalances</p>,Low risk,<p>Intervention performed within hospitals - unlikely cross over between hospitals</p>,Low risk,<p><br>Analysis adjusted for clustering</p>,Low risk,<p>Low risk across all important domains</p>
Boekeloo 1990,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there was low risk of recruitment bias.</p>",High risk,"<p>Patients differed in key variables (lab values, medical history).</p>",High risk,<p>Contamination between physicians likely</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Due to baseline imbalance and protection against contamination</p>
Boet 2018,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>""An independent statistician not otherwise involved in the study performed the randomization to protect allocation concealment."" It appears that allocation was done centrally and concealed.</p>",Low risk,"<p>It is unclear if the outcome assessors were blinded. Data on patient outcomes and process of care (warmer use) were collected objectively, using electronic medical record systems, so it is unlikely that the lack of blinding would affect the outcome.</p>",Low risk,<p>Figure 3 shows no loss to follow-up of providers in each arm of the trial.</p>,Unclear risk,"<p>The trial registration says the primary outcome is ""Patient peri-operative temperature"" without describing this as a dichotomous outcome (percentage with hypothermia). The predefined secondary outcome, ""Intraoperative warming device usage perioperative"" also appears to be split into two outcomes in this trial publication. It is unclear whether these outcomes were just poorly defined in the trial registration or if these were deviations. Patient postoperative surgical site infection (SSI) rate is listed as one of the main study outcomes in the registered protocol. In the published full text, the study authors explain that it was too costly and potentially meaningless to obtain these data, so they did not include this outcome in the published paper.<br><br>The original second secondary outcome in the trial registration was not measured and trialists described this due to the financial burden and seeing no difference in the primary outcome. This explanation does not suggest a risk of bias; however, it would have been better if this was pre-planned (i.e. only obtained data on postoperative surgical site infection if there was a difference in the primary outcome).</p>",Low risk,<p>There is no evidence of further recruitment after the enroled clusters were randomised.</p>,Unclear risk,<p>Trial did not discuss whether there were any significant baseline imbalances. The data presented suggests there could potentially be imbalances.</p>,Low risk,<p>Allocation by cluster (anaesthesiologist) and unlikely control clusters received the intervention.</p>,Low risk,"<p>Analysis was done at the patient level but ""adjusted for clustering by provider and for all the pre-specified covariates"".</p>",Low risk,<p>Low risk across all important domains</p>
Bond 2011,Unclear risk,<p>The method of random sequence generation was not described.</p>,Low risk,<p>Central allocation</p>,High risk,<p>Knowledge of intervention likely to influence outcome measurement</p>,Low risk,<p>Low attrition rates in both groups</p>,Low risk,<p>All prespecified outcomes in the methods section were reported in the results.</p>,Low risk,<p>No report  that participant centres were recruited after randomisation</p>,Low risk,<p>No baseline differences found</p>,High risk,<p>Risk of cross talk between groups</p>,High risk,<p>Clustering not taken into account in analysis</p>,High risk,<p>Protection against contamination and incorrect analysis judged as high risk</p>
Bonds 2009,Unclear risk,<p>The method of random sequence generation was not described.</p>,Low risk,"<p>Though not specified, based on the study flow diagram, it appears likely that clusters were allocated at the same time.</p>",Low risk,<p>The outcome assessors were blinded to group allocation.</p>,Low risk,<p>Attrition rates were similar across groups - both groups lost 1 practice to follow-up.</p>,Low risk,"<p>Although the trial protocol was not found and the trial was not registered, all prespecified outcomes were measured and adequately reported in the paper.</p>",Low risk,<p>There was no evidence to suggest any further recruitment took place after randomisation.</p>,Low risk,<p><br>There was no baseline imbalance between the 2 groups.</p>,Low risk,"<p>Although the control group was exposed to a similar programme as the intervention one, there was no record of contamination of the control group by the GLAD Heart intervention.</p>",Low risk,<p>The analysis took the clustering design into account and data were analysed and presented at the practice level.</p>,Low risk,<p>Low risk across all important domains</p>
Bonevski 1999,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Patients appear to be unaware of intervention arm</p>,Low risk,"<p>High participation rates, no evidence of variation between groups</p>",Low risk,<p>Appropriate outcomes reported</p>,Low risk,<p>Recruitment did not occur after randomisation.</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Logistic regression with a generalised estimating equation</p>,Unclear risk,<p>Unclear risk across important domains</p>
Borgiel 1999,Low risk,<p>Stratification and block randomisation</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Equal numbers of subjects in both groups completed the study.</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Physicians assigned to groups in the order that they were recruited</p>,Low risk,<p>Physicians and patients comparable (Table 1 and 2)</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Unpaired t-test</p>,High risk,<p>Due to incorrect analysis</p>
Brady 1988a,Low risk,<p>A random number table was used to generate the random sequence.</p>,Low risk,<p>No description of allocation concealment. Seems likely from figure 1 that all residents were randomised at the same time point</p>,Low risk,<p>Blinding of outcome assessors not clearly stated but 'investigators were generally unaware of each residents group assignment' and they were using routinely collected measures.</p>,Low risk,<p>Data collection was performed on all records available (so no attrition).</p>,Low risk,<p>Trial was conducted in 1985-86 prior to trial registry commencement. The results for all prespecified outcomes were presented in the paper.</p>,Low risk,"<p>From figure 1, it appears that all participants were recruited at the same time.</p>",Unclear risk,<p>Separate baseline measures for the 3 groups have not been provided.</p>,Low risk,<p>Unlikely that the control group participants performed their own audit and the trial was designed to avoid this.</p>,High risk,<p>No mention of clustering has been made in the analysis.</p>,High risk,<p>Incorrect analysis - high</p>
