Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias)
Devillard 2022,Low risk,"<p>Randomization was conducted using Research Electronic Data Capture (REDCap) software, and was carried out in random-sized blocks with stratification on parity (nulliparous versus parous).</p>",Low risk,"<p>The randomisation algorithm was known only by the data manager of REDCap, and not by any of the doctors.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (NCT03310333). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Diguisto 2021,Low risk,<p>Randomisation and concealment were managed by a secured online centralised web-based system.</p>,Low risk,<p>Randomisation and concealment were managed by a secured online centralised web-based system. Randomisation was stratified for centre and parity (nulliparas versus others) and generated by use of permuted blocks of variable size. The sequence was generated by someone who was not involved in patient recruitment.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>4 women were excluded from the analyses due to the following reasons: 1) withdrawal the consent (n = 2) and 2) having issues with consent forms (n = 2). All other women were included in the analysis.</p>,High risk,"<p>The protocol of the study was registered (NCT02907060). However, the study failed to report our primary outcomes.</p>"
Dodd 2006,Low risk,<p>The randomisation schedule was generated by using a computer sequence with variable blocks and stratification for parity (0 and 1-4) and collaborating centre.</p>,Low risk,<p>The point of randomisation was when the pack was opened. Treatment packs appeared identical and were sealed to prevent tampering.</p>,Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (ACTRN1260600015658). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Dogra 2019,Low risk,<p>Randomization was performed using a computer-generated random number tables in a 1:1 ratio and sealed opaque envelopes.</p>,Low risk,<p>Randomization was performed using a computer-generated random number tables in a 1:1 ratio and sealed opaque envelopes.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT01677364). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
El-Shawarby 2006,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>On the day of induction, women were randomised on the antenatal ward by a sealed envelope method, and assigned to the Propess group or Prostin group.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,High risk,"<p>28 women (&gt; 20%) were excluded from the analyses due to the following reasons: 13 women violated the trial criteria, one refused to have the intervention, one failed to induce labour with the allocated treatment, two received the wrong intervention, and nine cases had insufficient record-keeping during their labour due to lost case-notes and data sheets. All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Feitosa 2006,Low risk,<p>The boxes were numbered according to previously generated randomization numbers using Epiinfo statistical software.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Fuenmavor-Beltran 2017,Low risk,<p>Numbers for assignment to each treatment group were generated from a random number table.</p>,Low risk,<p>A system of sealed envelopes containing the location of each patient to the treatment groups was used.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. The trial author replied to our query that ""the trial was registered in advance. The study was registered at the Ministry of Public Health of Venezuela; however, unfortunately, I do not have access to the specific registration number. A clinical trial protocol was developed prior to the trial being undertaken. But I do not have a copy of the protocol. This material belongs to La Universidad del Zulia."" In addition, according to our risk of bias criteria for this risk of bias domain, the study failed to report our primary outcomes.</p>"
Gattas 2020,Low risk,"<p>Randomization was performed using a single block of sequential numbers from 1 to 200 and the letters A and B. A statistician not otherwise involved in the study and who was unaware of what A and B represented prepared the list using the Random Allocation software program, version 1.0.</p>",Low risk,"<p>Standardized, sequentially numbered, identical opaque packages were prepared in accordance with the randomization list.</p>",Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>2 women (&lt; 10%) declined to participate in the trial and were excluded from the analyses. All other women were included.</p>,Low risk,"<p>The protocol of the study was registered (NCT01406392). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Gavara 2022,Low risk,<p>Randomization was created independently using a computer-generated sequence and concealed from the research staff responsible for recruiting and enrolling participants.</p>,Low risk,<p>Randomization was created independently using a computer-generated sequence and concealed from the research staff responsible for recruiting and enrolling participants.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>4 women (&lt; 10%) were early excluded before randomisation because they declined to participate in the trial. There were 31 women (10%) who did not align with the protocol. However, this trial performed data analysis using an intention-to-treat approach. Thus, all women were included in the analysis.</p>",Low risk,"<p>The protocol of the study was registered (NCT03670836). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Ghanaie 2013,Unclear risk,<p>Random sequence generation was not reported.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (IRCT138803311946N3). However, the study failed to report our primary outcomes.</p>"
Goonewardene 2014,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,<p>Sequentially numbered and sealed opaque envelopes coded with the appropriate treatment regimen were prepared by the first author.</p>,Low risk,"<p>Study participants were not blinded. However, caregivers who administered the interventions were blinded to treatment allocations.</p>",Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (SLCTR/2011/002). However, the study failed to report our primary outcomes.</p>"
Grace 2021,Low risk,<p>The 420 envelopes were shuffled according to a computer randomisation code after sealing and labelled with a randomisation allocation number from 1 to 420.</p>,Low risk,<p>Randomisation of the women was then achieved with third party sealed envelope allocation. 210 envelopes containing DBC allocation and another 210 identical envelopes containing prostaglandin pessary allocation were prepared by a third party.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>26 women (&lt; 10%) were excluded from the analyses due to the following reasons: 14 women violated the trial criteria due to medical reasons, 7 women violated the trial criteria for other reasons, 1 woman withdrew her consent, and 4 women had incomplete data. All other women were included in the analysis.</p>",Low risk,"<p>The protocol of the study was registered (NCT02620215). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Grant 1992,Low risk,<p>The randomization process was by simple ran- domization without blocking from a table of random numbers.</p>,Low risk,"<p>If the fetal heart rate trace was normal and if contractions were not palpated the top one of a numbered series of opaque, sealed envelopes containing the randomization codes was opened.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Gupta 2022,Low risk,"<p>Randomization was provided by a 24- hour telephone system hosted by the University of Aberdeen using a minimization algorithm to ensure balance between the groups on the following variables: parity (nulliparous vs multiparous); maternal obesity (body mass index [BMI] ≥30 kg/m2 vs BMI &lt;30 kg/m2 at the first antenatal consultation); maternal age (&lt;20, 20 to &lt;30, 30 to &lt;40, and ≥40 years); and randomizing hospital.</p>",Low risk,<p>The random allocation sequence was concealed until eligibility was confirmed and minimization variables were provided.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>2 women (&lt; 10 %) were excluded from the analyses because they had missing primary outcomes data. In addition, there were a few women that did not receive allocated intervention or received alternate intervention for at least one series. However, this trial performed the analysis using an intention-to-treat approach. Thus, all other women, except the two women with missing outcomes data were included in the analysis.</p>",Low risk,"<p>The protocol of the study was registered (ISCRTN20131893). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Haas 2019,Low risk,"<p>Computer-generated, stratified randomization with blocks of size 10 was used for each hospital with 1:1 assignment to treatment group.</p>",Low risk,"<p>After informed consent was obtained by the study team, the appropriate investigational pharmacy was notified. The pharmacist on duty obtained the next sequentially numbered study drug packet and sent it to labor and delivery. Other than the investigational pharmacist, who did not have direct subject contact, no investigators, providers, or patients had knowledge of randomization assignment.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,"<p>19 women, which is less than 10% of the total number of participants, were excluded from the analysis due to various reasons. Thirteen of them did not receive the intervention as they developed an exclusion criterion before the study drug placement. One woman withdrew her consent, while five were withdrawn after later discovery of documentation or consent issues, making them ineligible.</p>",Low risk,"<p>The protocol of the study was registered (NCT02408315). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Habib 2008,Low risk,"<p>Group assignment was random in the ratio 1:1 and treatment packs containing either IMN 3 × 40 mg or pyridoxine 3 × 40 mg placebo were prepared independently, arranged in a computer-generated random sequence, and numbered consecutively.</p>",Low risk,"<p>Group assignment was random in the ratio 1:1 and treatment packs containing either IMN 3 × 40 mg or pyridoxine 3 × 40 mg placebo were prepared independently, arranged in a computer-generated random sequence, and numbered consecutively.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Hannah 1996,Low risk,"<p>Randomization was centrally controlled at the Perinatal Clinical Epidemiology Unit at Women’s College Hospital in Toronto with the use of a computerized randomization program, accessible by means of a touch-tone telephone. To ensure that the four groups were comparable, randomization was done in blocks of four and eight and stratified according to center and parity.</p>",Low risk,"<p>Randomization was centrally controlled at the Perinatal Clinical Epidemiology Unit at Women’s College Hospital in Toronto with the use of a computerized randomization program, accessible by means of a touch-tone telephone.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,"<p>The study did not mention how many participants violated the trial protocol, withdrew their consent, or did not receive the assigned intervention. However, the trial authors analysed the data using an intention-to-treat approach. This means that all women who participated and randomised in the study were included in the final analysis.</p>",High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
