review_id	review_group	review_pdf	pdf_status	review_title	domain	published_issue	studies_summary	reports_refs_summary	comparisons	outcomes	timepoint_burden	curation_notes	manual_status	manual_audit_notes	included_study_blocks	study_blocks_with_any_pmid	study_blocks_with_any_pmc	unique_pmids	unique_pmcids	analysis_count	estimable_analysis_count	uncertain_analysis_count	not_estimable_analysis_count
CD004661_magnesium_preterm_neuro	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD004661_magnesium_preterm_neuro.pdf	present	Magnesium sulfate for fetal neuroprotection	Obstetrics / preterm birth	Issue 5, 2024; edited Issue 7, 2024	6 RCTs	6 study groups; multiple follow-up reports	magnesium sulfate vs placebo/no magnesium for women at risk of preterm birth	cerebral palsy; death or cerebral palsy; neurodevelopmental disability; maternal serious outcomes	High for neurodevelopmental outcomes; neonatal, 2-yr corrected-age, and school-age follow-up reports may need separate handling	Simple comparison, but child follow-up publications add linkage burden.	.	.	6	5	2	18	6	130	127	0	3
CD006586_drospirenone_pms	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD006586_drospirenone_pms.pdf	present	Drospirenone COCs for PMS	Gynecology / reproductive endocrinology	Issue 6, 2023	5 RCTs	5 RCTs; about 10 reports	drospirenone/EE COC vs placebo; one active-COC comparison	premenstrual symptoms; functional impairment; mood/physical symptoms; withdrawals; AEs	Moderate; cycle-level symptom scores require consistent end-of-treatment timing choices, even if not many formal timepoint subgroups	Symptom scales, cycle timing, and secondary reports add inspection.	.	.	5	4	1	5	1	7	7	0	0
CD012664_calcium_vitd_bone	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD012664_calcium_vitd_bone.pdf	present	Calcium/vitamin D for bone health	Bone health / women's health	Issue 1, 2023	7 studies	7 reports	calcium vs placebo; vitamin D vs placebo; calcium + vitamin D vs placebo	hip and lumbar-spine BMD; withdrawals; fractures/adverse events mostly unavailable	Low; BMD outcomes are mostly around 12 mo, with limited 6-12 mo timing variation	Low report burden, but three branches and surrogate outcomes.	.	.	7	3	0	3	0	8	8	0	0
CD013476_aspirin_desensitisation	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013476_aspirin_desensitisation.pdf	present	Aspirin desensitisation for NERD	Allergy / respiratory medicine	Issue 1, 2025	5 studies	5 studies; about 7-9 refs/records	aspirin treatment after desensitisation vs placebo; dosage variants	HRQoL/SNOT; asthma control; nasal polyp score; smell; rescue medication; AEs	Moderate; main results center on 6 mo, but one long-term 36-mo study may require separate scoping	Recent and small, but sparse outcomes make timing choices important.	.	.	5	5	1	5	1	14	14	0	0
CD013595_daratumumab_ndmm	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013595_daratumumab_ndmm.pdf	present	Daratumumab for transplant-ineligible NDMM	Hematology / oncology	Issue 5, 2024	4 RCTs	34 publications	daratumumab + backbone vs same backbone; VMP, Rd, VCd variants	OS; PFS; QoL; mortality; serious AEs; grade 3+ infections	Moderate/high; key outcomes use different fixed times, including OS 36 mo, PFS 24 mo, QoL 3/9/12 mo, and longest follow-up harms	Only 4 RCTs, but publication linkage is complicated enough to handle after simpler first-pass reviews.	.	.	4	3	2	11	5	24	24	0	0
CD013765_af_ablation_drugs	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013765_af_ablation_drugs.pdf	present	Antiarrhythmics after AF ablation	Cardiology / electrophysiology	Issue 3, 2023	9 RCTs	9 reports	Class I/III antiarrhythmics vs control/placebo/usual care after ablation	atrial tachyarrhythmia recurrence; hospitalisation; thromboembolism; MI; mortality; repeat ablation; AEs	High; recurrence and several safety outcomes are explicitly stratified into 0-3 mo, >3-6 mo, and >6 mo windows	Clean linkage, but timepoint-stratified recurrence is heavier.	.	.	9	3	0	3	0	27	25	0	2
CD013823_b12_pregnancy	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013823_b12_pregnancy.pdf	present	Vitamin B12 in pregnancy	Maternal-child nutrition	Issue 1, 2024	5 trials	multiple maternal/child follow-up reports	vitamin B12 supplementation vs placebo/no B12, often with standard co-supplements	maternal/infant B12 status; anaemia; birth outcomes; infant growth/neurocognitive and immune outcomes	High; maternal, delivery/postpartum, and infant follow-up windows span from pregnancy through multi-year child outcomes	Small trial count, but maternal-child follow-up raises workload.	.	.	5	4	1	9	5	12	12	0	0
CD014803_omega3_depression_youth	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD014803_omega3_depression_youth.pdf	present	Omega-3 for depression in children/youth	Child/adolescent psychiatry	Issue 11, 2024	5 trials	multiple secondary/follow-up reports	omega-3 PUFA vs placebo	self-reported depression symptoms; remission; attrition; AEs	Low/moderate; primary meta-analysis appears end-of-treatment, but secondary longer follow-up reports can complicate source matching	Simple comparison, but psychiatric scales and secondary reports add friction.	.	.	5	5	4	18	16	3	3	0	0
CD002243_corticosteroids_sepsis	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	present	Corticosteroids for sepsis	Critical care / infectious disease	Issue 6, 2025	87 trials	at least 87 trial refs; 33 author data contacts	corticosteroids vs placebo/usual care; continuous infusion vs bolus	28-day, long-term, and hospital mortality; ICU/hospital stay; superinfection; muscle weakness	High; mortality and organ-support outcomes are separated across 28-d, 90-d, hospital, long-term, and day-specific windows	Scale stress test with author-provided data and many timepoint analyses.	.	.	87	68	25	74	27	32	32	0	0
CD004376_exercise_knee_oa	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	present	Exercise for knee osteoarthritis	Musculoskeletal / rheumatology	Issue 12, 2024	139 trials	256 records	exercise vs attention/placebo; exercise vs usual/no care/education; added exercise vs cointervention alone	pain; physical function; QoL; adverse events	High; immediate post-intervention and longer follow-up/sustainability windows are important meta-analysis axes	Largest heterogeneity test: many records, scales, and exercise variants.	.	.	139	119	52	167	67	21	21	0	0
CD012079_vaginal_prolapse_repair	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD012079_vaginal_prolapse_repair.pdf	present	Vaginal prolapse repair	Urogynecology / women's health	Issue 3, 2024	51 RCTs	about 68 included-study refs	permanent mesh vs native tissue; absorbable mesh vs native tissue; biological graft vs native tissue; mesh/graft variants	prolapse awareness/recurrence; repeat surgery; bladder injury; mesh exposure; de novo SUI	High; follow-up windows vary by comparison and device/graft type, so outcome timing must be selected deliberately	Strong surgical benchmark, but device/graft variants multiply targets.	.	.	51	27	5	32	5	96	65	25	6
CD013729_dash_cvd	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD013729_dash_cvd.pdf	present	DASH dietary pattern for CVD prevention	Nutrition / cardiovascular prevention	Issue 5, 2025	5 RCTs	many secondary reports, about 19 refs	DASH vs usual/no/minimal/alternative diet interventions across three comparison families	CVD events; BP; lipids; glucose/insulin; weight/BMI; QoL; adherence; AEs	Moderate/high; lifestyle outcomes span roughly 12 wk to 12 mo, with longer secondary reports that may need separate exclusion or scoping	Relevant and recent, but diet comparators plus secondary reports are slow.	.	.	5	5	5	17	12	22	22	0	0
CD014606_digital_cf_infections	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD014606_digital_cf_infections.pdf	present	Digital technology for cystic fibrosis infections	Pulmonology / cystic fibrosis	Issue 4, 2023	3 studies	23 references	digital symptom diary/spirometry monitoring vs routine care	exacerbation detection/count; QoL; lung function; hospitalisations; IV antibiotics; microbiology; costs; AEs	Low for completed studies; endpoints are mostly 12 mo/52 wk, but limited pooling is the bigger issue	Small study count is misleading; limited pooling and many refs.	.	.	3	3	3	9	6	11	11	0	0
CD014861_home_iv_cancer_therapy	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD014861_home_iv_cancer_therapy.pdf	present	Home versus hospital IV anti-cancer therapy	Oncology / home infusion care	Issue 4, 2025	7 trials	12 reports	home IV therapy vs hospital outpatient clinic; one study also GP surgery	AEs; admissions/attendance; IV-line complications; preference; cost/cost-effectiveness; QoL; satisfaction; adherence	Moderate; outcomes use different trial-specific follow-up windows, but setting/economic design issues are bigger than formal timepoint subgroups	Cross-over designs, preferences, and economic outcomes add complexity.	.	.	7	4	2	5	3	18	18	0	0
CD015148_steroid_carpal_tunnel	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD015148_steroid_carpal_tunnel.pdf	present	Steroid injection for carpal tunnel syndrome	Neurology / peripheral nerve	Issue 2, 2023	14 trials	27 references	local corticosteroid injection vs placebo	symptoms/function; neurophysiology/imaging; surgery; QoL; AEs	High; symptoms/function and neurophysiology are split into <=3 mo and >3 mo, while surgery is assessed up to 12 mo	Clear intervention, but moderate report burden and multiple timepoints.	.	.	14	11	6	13	6	31	31	0	0
CD015332_cbt_schizophrenia	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD015332_cbt_schizophrenia.pdf	present	CBT without antipsychotics for schizophrenia	Psychiatry / schizophrenia	Issue 2, 2024	4 studies	29-31 full-text articles	CBT without antipsychotics vs no specific/standard care; antipsychotics; CBT + antipsychotics	overall/specific symptoms; relapse; service use; leaving early; functioning; QoL; antipsychotic uptake; AEs/mortality	Moderate/high; short, medium, and long follow-up categories are part of the evidence structure	Low study count, but high article count and comparator contamination.	.	.	4	4	3	17	8	82	81	0	1
