review_group	review_pdf	review_id	study_label	report_index	candidate_type	candidate_text	query_text	matched_pmids	pmcids	n_pmids	n_pmcids	has_pubmed	has_pmc	lookup_methods	lookup_errors	pubmed_titles	reference_excerpt
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Meduri 1998b	1	explicit_pmid	9669790	9669790	9669790	.	1	0	yes	no	direct_pubmed_link	.	.	Meduri GU, Headley AS, Golden E, Carson SJ, Umberger RA, Kelso T, et al. Effect of prolonged methylprednisolone therapy in unresolving acute respiratory distress syndrome: a randomized controlled trial. JAMA 1998;280(2):159-65. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Mikami 2007	1	explicit_pmid	17710485	17710485	17710485	.	1	0	yes	no	direct_pubmed_link	.	.	Mikami K, Suzuki M, Kitagawa H, Kawakami M, Hirota N, Yamaguchi H, et al. Efficacy of corticosteroids in the treatment of community-acquired pneumonia requiring hospitalization. Lung 2007;185(5):249-55. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Munch 2021	1	explicit_pmid	34138478	34138478	34138478	PMC8441888	1	1	yes	yes	direct_pubmed_link	.	.	Munch MW, Meyhoff TS, Helleberg M, Kjaer MN, Granholm A, Hjortsø CJS, et al. Low-dose hydrocortisone in patients with COVID-19 and severe hypoxia: the COVID STEROID randomised, placebo-controlled trial. Acta Anaesthesiology Scandinavia 2021;65:1421-30. [DOI: 10.1111/aas.13941] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT02602210 2015	1	nct_id	NCT02602210	NCT02602210	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	NCT02602210. Supplemental corticosteroids in cirrhotic hypotensive patients with suspicion of sepsis (SCOTCH). https://clinicaltrials.gov/ct2/show/NCT02602210 (first received 11 November 2015).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT03335124 2017	1	nct_id	NCT03335124	NCT03335124	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	NCT03335124. The effect of vitamin C, thiamine and hydrocortisone on clinical course and outcome in patients with severe sepsis and septic shock [A randomized, double blind, placebo-controlled study to investigate the effects of vitamin C, hydrocortisone and thiamine on the outcome of patients with severe sepsis and septic shock]. https://clinicaltrials.gov/ct2/show/NCT03335124 (first received 7 November 2017).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT03828929 2019	1	nct_id	NCT03828929	NCT03828929	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Effect of IV vitamin C, thiamine, and steroids on mortality of septic shock. ClinicalTrials.gov 2019. [NCT: NCT03828929]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT04134403 2019	1	nct_id	NCT04134403	NCT04134403	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Steroids, thiamine and ascorbic acid in septic shock. ClinicalTrials.gov 2019. [NCT: NCT04134403]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Newberry 2017	1	explicit_pmid	28145162	28145162	28145162	.	1	0	yes	no	direct_pubmed_link	.	.	Newberry L, O'Hare B, Kennedy N, Selman A, Omar S, Dawson P, et al. Early use of corticosteroids in infants with a clinical diagnosis of pneumocystis Jiroveci pneumonia in Malawi: a double-blind, randomised clinical trial. Paediatric International Child Health 2017;37:121-8. - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Peeters 2018	1	explicit_pmid	30374692	30374692	30374692	PMC6280831	1	1	yes	yes	direct_pubmed_link	.	.	Peeters B, Meersseman P, Vander Perre S, Wouters PJ, Debaveye Y, Langouche L, et al. ACTH and cortisol responses to CRH in acute, subacute, and prolonged critical illness: a randomized, double-blind, placebo-controlled, crossover cohort study. Intensive Care Medicine 2018;44:2048-58. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Raghu 2021	1	title	Safety and efficacy of vitamin C, vitamin B1, and hydrocortisone in clinical outcome of septic shock receiving standard care: a quasi experimental randomized open label two arm parallel group study	"""Safety and efficacy of vitamin C, vitamin B1, and hydrocortisone in clinical outcome of septic shock receiving standard care: a quasi experimental randomized open label two arm parallel group study""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Raghu K, Ramalingam K. Safety and efficacy of vitamin C, vitamin B1, and hydrocortisone in clinical outcome of septic shock receiving standard care: a quasi experimental randomized open label two arm parallel group study. European Journal of Molecular and Clinical Medicine 2021;8(2):873‐91.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Rogers 1970	1	explicit_pmid	4923652	4923652	4923652	.	1	0	yes	no	direct_pubmed_link	.	.	Rogers J. Large doses of steroids in septicaemic shock. British Journal of Urology 1970;42(6):742. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Roquilly 2011	1	explicit_pmid	21427372	21427372	21427372	.	1	0	yes	no	direct_pubmed_link	.	.	Roquilly A, Mahe PJ, Seguin P, Guitton C, Floch H, Tellier AC, et al. Hydrocortisone therapy for patients with multiple trauma: the randomized controlled HYPOLYTE study. JAMA 2011;305:1201-9. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Schwingshackl 2016	1	explicit_pmid	26545141	26545141	26545141	PMC4666843	1	1	yes	yes	direct_pubmed_link	.	.	Schwingshackl A, Kimura D, Rovnaghi CR, Saravia JS, Cormier SA, Teng B, et al. Regulation of inflammatory biomarkers by intravenous methylprednisolone in pediatric ARDS patients: results from a double-blind, placebo-controlled randomized pilot trial. Cytokine 2016;77:63-71. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Steinberg 2006	1	explicit_pmid	16625008	16625008	16625008	.	1	0	yes	no	direct_pubmed_link	.	.	Steinberg KP, Hudson LD, Goodman RB, Hough CL, Lanken PN, Hyzy R, et al. Efficacy and safety of corticosteroids for persistent acute respiratory distress syndrome. New England Journal of Medicine 2006;354:1671-84. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Tam 2012	1	explicit_pmid	22865871	22865871	22865871	PMC3466094	1	1	yes	yes	direct_pubmed_link	.	.	Tam DT, Ngoc TV, Tien NT, Kieu NT, Thuy TT, Thanh LT, et al. Effects of short-course oral corticosteroid therapy in early dengue infection in Vietnamese patients: a randomized, placebo-controlled trial. Clinical Infectious Disease 2012;55(9):1216-24. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Thompson 1976	1	title	Inefficacy of glucocorticoids in shock (double-blind study)	"""Inefficacy of glucocorticoids in shock (double-blind study)""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Thompson WL, Gurley HT, Lutz BA, Jackson DL, Kvols LK, Morris IA. Inefficacy of glucocorticoids in shock (double-blind study). Clinical Research 1976;24:258A.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	van Woensel 2003	1	explicit_pmid	12728156	12728156	12728156	PMC1746666	1	1	yes	yes	direct_pubmed_link	.	.	Woensel JB, Aalderen WM, Weerd W, Jansen NJ, Gestel JP, Markhorst DG, et al. Dexamethasone for treatment of patients mechanically ventilated for lower respiratory tract infection caused by respiratory syncytial virus. Thorax 2003;58(5):383-7. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Venet 2015	1	explicit_pmid	25619170	25619170	25619170	PMC4347659	1	1	yes	yes	direct_pubmed_link	.	.	Venet F, Plassais J, Textoris J, Cazalis MA, Pachot A, Bertin-Maghit M, et al. Low-dose hydrocortisone reduces norepinephrine duration in severe burn patients: a randomized clinical trial. Critical Care 2015;19:21. [PMID: ] - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Wagner 1955	1	explicit_pmid	13304518	13304518	13304518	.	1	0	yes	no	direct_pubmed_link	.	.	Wagner HN, Bennett IL, Lasagna L, Cluff LE, Rosenthal MB, Mirick GS. The effect of hydrocortisone upon the course of pneumococcal pneumonia treated with penicillin. Bulletin of Johns Hopkins Hospital 1955;98(3):197-215. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Weigelt 1985	1	explicit_pmid	3885915	3885915	3885915	.	1	0	yes	no	direct_pubmed_link	.	.	Weigelt JA, Norcross JF, Borman KR, Snyder WH 3rd. Early steroid therapy for respiratory failure. Archives of Surgery 1985;120(5):536-40. [PMID: ] - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Xi 2021	1	doi	10.16781/j.0258-879x.2021.01.0021	"""10.16781/j.0258-879x.2021.01.0021""[AID]"	.	.	0	0	no	no	.	title_search_no_match	.	Xi P, Zhou Y, Li X-F, Chen Y-J, Peng Y-H, Liu Y. Methylprednisolone prevents urosepsis in high-risk patients undergoing percutaneous nephrolithotomy: a randomized controlled trial. Academic Journal of Second Military Medical University 2021;42(1):21‐7. [DOI: 10.16781/j.0258-879x.2021.01.0021] - DOI
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12615000227594	1	nct_id	Actrn12615000227594	Actrn12615000227594	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Actrn12615000227594. Stepped Care Approach for Medial Tibiofemoral Osteoarthritis (STrEAMline)STrEAMline: the remission of symptoms in tibiofemoral osteoarthritis following an adaptive treatment strategy in overweight/obese participants. Actrn12615000227594 2015.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12616000273482	1	explicit_pmid	29761054	29761054	29761054	PMC5949056	1	1	yes	yes	direct_pubmed_link	.	.	Actrn12616000273482. Feasibility and potential benefits of high-intensity interval cycling for knee osteoarthritic patients: a randomised control feasibility trial? Is high-intensity interval cycling feasible and more beneficial than continuous cycling for knee osteoarthritic patients? Actrn12616000273482 2016. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12618001280291	1	nct_id	Actrn12618001280291	Actrn12618001280291	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Actrn12618001280291. The effect of a virtual reality-based therapy on functions in older adult with knee osteoarthritis. Actrn12618001280291 2018.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12620001281987	1	nct_id	Actrn12620001281987	Actrn12620001281987	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Actrn12620001281987. Modifying activity behaviours in osteoarthritis. The best activity is the next activity: the effect of replacing sitting with moving on pain in people with osteoarthritis. Actrn12620001281987 2020.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12621000535875	1	nct_id	Actrn12621000535875	Actrn12621000535875	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Actrn12621000535875. Is a digital knee brace helpful for patients with osteoarthritis? Evaluating a digital knee brace and mobile-based CBT application for the treatment of knee pain in adults aged 65 or younger with knee osteoarthritis: a pilot trial. Actrn12621000535875 2021.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12622000461796	1	explicit_pmid	38350917	38350917	38350917	PMC10863299	1	1	yes	yes	direct_pubmed_link	.	.	Actrn12622000461796. Exercise and weight loss for hip osteoarthritis: a clinical trial. Effectiveness of a telehealth-delivered clinician-supported exercise and weight loss program (Better Hip) for hip osteoarthritis: a randomised controlled trial. Actrn12622000461796 2022. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12622001231730	1	nct_id	Actrn12622001231730	Actrn12622001231730	.	.	0	0	no	no	.	no_pubmed_queryable_identifier	.	Actrn12622001231730. How should exercise and education be delivered in exercise physiology interventions in people with knee osteoarthritis? Feasibility of 'exercising into pain' in patients with symptomatic knee osteoarthritis. Actrn12622001231730 2022.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Ageberg 2010	1	explicit_pmid	20565735	20565735	20565735	PMC2896351	1	1	yes	yes	direct_pubmed_link	.	.	Ageberg E, Link A, Roos EM. Feasibility of neuromuscular training in patients with severe hip or knee OA: the individualized goal-based NEMEX-TJR training program. BMC Musculoskeletal Disorders 2010;11:126. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Aglamis 2008	1	explicit_pmid	20023363	20023363	20023363	.	1	0	yes	no	direct_pubmed_link	.	.	Aglamis B, Toraman NF, Yaman H. Change of quality of life due to exercise training in knee osteoarthritis: SF-36 and WOMAC. Journal of Back and Musculoskeletal Rehabilitation 2009;22(1):43-8. - PubMed Aglamis B, Toraman NF, Yaman H. The effect of a 12-week supervised multicomponent exercise program on knee OA in Turkish women. Journal of Back and Musculoskeletal Rehabilitation 2008;21(2):121-8.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Aglamis 2008	2	title	The effect of a 12-week supervised multicomponent exercise program on knee OA in Turkish women	"""The effect of a 12-week supervised multicomponent exercise program on knee OA in Turkish women""[Title]"	.	.	0	0	no	no	.	title_search_no_match	.	Aglamis B, Toraman NF, Yaman H. Change of quality of life due to exercise training in knee osteoarthritis: SF-36 and WOMAC. Journal of Back and Musculoskeletal Rehabilitation 2009;22(1):43-8. - PubMed Aglamis B, Toraman NF, Yaman H. The effect of a 12-week supervised multicomponent exercise program on knee OA in Turkish women. Journal of Back and Musculoskeletal Rehabilitation 2008;21(2):121-8.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Ahmad 2023	1	explicit_pmid	37571940	37571940	37571940	PMC10422143	1	1	yes	yes	direct_pubmed_link	.	.	Ahmad MA, Yusof A, Hamid MS, Amin FH, Kamsan SS, Daud DM, et al. Effects of self-management program as adjunctive to usual rehabilitation exercise on pain and functional outcomes in knee osteoarthritis: a randomized controlled trial. Journal of Research in Health Sciences 2023;23(1):(no pagination). [DOI: 10.34172/jrhs.2023.104] - DOI - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Akyol 2010	1	explicit_pmid	20926998	20926998	20926998	.	1	0	yes	no	direct_pubmed_link	.	.	Akyol Y, Durmus D, Alayli G, Tander B, Bek Y, Canturk F, et al. Does short-wave diathermy increase the effectiveness of isokinetic exercise on pain, function, knee muscle strength, quality of life, and depression in the patients with knee osteoarthritis? A randomized controlled clinical study. European Journal of Physical and Rehabilitation Medicine 2010;46(3):325-36. - PubMed
