review_id	review_group	review_pdf	pdf_status	review_title	research_question	eligibility_inclusion_criteria	eligibility_exclusion_criteria
CD004661_magnesium_preterm_neuro	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD004661_magnesium_preterm_neuro.pdf	present	Magnesium sulfate for fetal neuroprotection	What does this review assess: the effectiveness and safety of magnesium sulphate as a fetal neuroprotective agent when given to women considered to be at risk of preterm birth?	We included RCTs and cluster-RCTs of women at risk of preterm birth that assessed prenatal magnesium sulphate for fetal neuroprotection compared with placebo or no treatment. All methods of administration (intravenous, intramuscular, and oral) were eligible. We did not include studies where magnesium sulphate was used with the primary aim of preterm labour tocolysis, or the prevention and/or treatment of eclampsia. Magnesium sulphate for women at risk of preterm birth for neuroprotection of the fetus (Review) Copyright © 2024 The Authors. Cochrane Database of Systematic Reviews published by John Wiley & Sons, Ltd. on behalf of The Cochrane Collaboration.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	Quasi-RCTs (with a quasi-random method of allocation, such as alternation) and cross-over trials were not eligible. We included RCTs with some 'eligible' and some 'ineligible' participants only if data from the 'eligible' participants could be retrieved. RCTs where magnesium sulphate was used with the primary aim of tocolysis (Crowther 2014) (including maintenance therapy after preterm labour (Han 2013)), prevention and treatment of eclampsia and pre-eclampsia (Duley 2010; Duley 2010a; Duley 2010b; Duley 2010c), or as a dietary supplement in pregnancy were not eligible (Makrides 2014). We did not include studies where magnesium sulphate was used with the primary aim of preterm labour tocolysis, or the prevention and/or treatment of eclampsia.
CD006586_drospirenone_pms	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD006586_drospirenone_pms.pdf	present	Drospirenone COCs for PMS	What does this review evaluate: the effectiveness and safety of COCs containing drospirenone in women with PMS?	We included randomised controlled trials (RCT) that compared COCs containing drospirenone with placebo or with another COC for treatment of women with PMS.	We excluded studies that were based solely on self-diagnosis.
CD012664_calcium_vitd_bone	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD012664_calcium_vitd_bone.pdf	present	Calcium/vitamin D for bone health	What does this review evaluate: the benefits and harms of calcium and vitamin D supplementation, alone or in combination, to increase the BMD, reduce fractures, and report the potential adverse events in healthy premenopausal women compared to placebo?	We included randomised controlled trials in healthy premenopausal women (with or without calcium or vitamin D deficiency) comparing supplementation of calcium or vitamin D (or both) at any dose and by any route of administration versus placebo for at least three months. Vitamin D could have been administered as cholecalciferol (vitamin D3) or ergocalciferol (vitamin D2).	We excluded studies in pregnant and lactating women; men; studies where participants had coexisting medical conditions; secondary causes of osteoporosis; and corticosteroid-induced osteoporosis. •Calcium alone versus placebo •Vitamin D alone versus placebo •Calcium plus vitamin D versus placebo We excluded trials with a treatment period of less than three months. We excluded studies with the following co-interventions of specific anti-osteoporosis therapy: bisphosphonates, hormone replacement therapy, PTH, selective oestrogen receptor modulators (SERMs), and strontium ranelate.
CD013476_aspirin_desensitisation	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013476_aspirin_desensitisation.pdf	present	Aspirin desensitisation for NERD	What does this review assess: the effectiveness of oral or intranasal aspirin desensitisation, as monotherapy or as adjunctive therapy, in adults with NSAID- exacerbated respiratory disease?	Randomised controlled trials that compared ATAD with placebo were eligible. We included studies of adults with NSAID-exacerbated respiratory disease (i.e. intolerance to NSAID established, e.g. by aspirin challenge test), with chronic rhinosinusitis or asthma, or both. Participants had to be followed up for at least three months.	We excluded studies that included people with: •chronic rhinosinusitis (with or without polyps) without N-ERD; •asthma without proof of N-ERD; •cystic fibrosis (CF) (as the disease is often refractory to standard non-CF CRS treatment due to the genetic mutation); •antrochoanal polyps (benign polyps originating from the mucosa of the maxillary sinus); •malignant polyps; •primary ciliary dyskinesia (disease is often refractory to standard non-CF CRS treatment due to the genetic mutation); •a history of surgery for nasal polyps within six weeks of entry to the study; and •allergic fungal rhinosinusitis/eosinophilic fungal/mucinous rhinosinusitis (different pathologic entity of primary CRS). In all other cases, we excluded the study.
CD013595_daratumumab_ndmm	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013595_daratumumab_ndmm.pdf	present	Daratumumab for transplant-ineligible NDMM	What does this review determine: the benefits and harms of daratumumab in addition to antineoplastic therapy compared to antineoplastic therapy only for adults with newly diagnosed MM who are ineligible for transplant?	We included randomised controlled trials that compared treatment with daratumumab added to antineoplastic therapy versus the same antineoplastic therapy alone in adult participants with a confirmed diagnosis of MM. We excluded quasi-randomised trials and trials with less than 80% adult participants, unless there were subgroup analyses of adults with MM. Daratumumab and antineoplastic therapy versus antineoplastic therapy only for adults with newly diagnosed multiple myeloma ineligible for transplant (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	We excluded quasi-randomised trials (e.g. In the case of cross- Daratumumab and antineoplastic therapy versus antineoplastic therapy only for adults with newly diagnosed multiple myeloma ineligible for transplant (Review) Copyright © 2024 The Cochrane Collaboration. We excluded trials with less than 80% adult participants, unless there were subgroup analyses of adults with multiple myeloma. We excluded quasi-randomised trials and trials with less than 80% adult participants, unless there were subgroup analyses of adults with MM. Daratumumab and antineoplastic therapy versus antineoplastic therapy only for adults with newly diagnosed multiple myeloma ineligible for transplant (Review) Copyright © 2024 The Cochrane Collaboration.
CD013765_af_ablation_drugs	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013765_af_ablation_drugs.pdf	present	Antiarrhythmics after AF ablation	What does this review assess: the effects of oral Class I and III antiarrhythmic drugs versus control (standard medical therapy without Class I or III antiarrhythmics, or placebo) for maintaining sinus rhythm in people undergoing catheter ablation for AF?	We sought published, unpublished, and ongoing parallel-design, randomised controlled trials (RCTs) involving adult participants undergoing ablation for AF, with subsequent comparison of Class I and/or III antiarrhythmic use versus control (standard medical therapy or non-Class I and/or III antiarrhythmic use). Oral Class I and III antiarrhythmic drugs for maintaining sinus rhythm after catheter ablation of atrial fibrillation (Review) Copyright © 2023 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	We excluded cluster-RCTs (as this method of randomisation will introduce dependence and thus require further analysis), cross-over trials (due to the short follow-up period and the long-term effect of the drugs being used), and quasi- randomised studies (due to the risk of selection bias).
CD013823_b12_pregnancy	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD013823_b12_pregnancy.pdf	present	Vitamin B12 in pregnancy	What does this review evaluate: the benefits and harms of oral vitamin B12 supplementation during pregnancy on maternal and child health outcomes?	Randomised controlled trials (RCTs), quasi-RCTs, or cluster-RCTs evaluating the effects of oral vitamin B12 supplementation compared to placebo or no vitamin B12 supplementation during pregnancy.	Records that did not meet these inclusion criteria are described in the Characteristics of excluded studies table. We did not include cross-over studies or observational studies in the meta-analyses. We excluded studies of interventions targeted to participants with critical illnesses or severe comorbidity. Interventions including oral syrups or drops, intramuscular injections, or food fortification were not eligible for inclusion.
CD014803_omega3_depression_youth	second_pass	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/second_pass/CD014803_omega3_depression_youth.pdf	present	Omega-3 for depression in children/youth	Primary objective To determine the impact of omega-3 PUFA supplementation versus a comparator (e.g. placebo, wait list controls, no treatment/ supplementation, or standard care) on clinician-diagnosed depression or self-reported depression symptoms in children and adolescents. Secondary objectives To estimate the size of the effect of omega-3 PUFAs on depression symptoms. To estimate the effect of each type of omega-3 PUFA (EPA or DHA), compared with placebo, on depression. To determine if the effect is modified by dosage, format (capsule or liquid), sex, or age. To determine compliance and attrition for omega-3 PUFAs as an intervention for depression in children and adolescents. Omega-3 fatty acid supplementation for depression in children and adolescents (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews To determine the safety of omega-3 PUFAs as an intervention for depression in children and adolescents.	We included randomized controlled trials (RCTs) involving males and females aged 19 years or younger with diagnosed depression comparing omega-3 PUFA supplementation to placebo, wait list control, no treatment/supplementation, or standard care.	We did not include stu...
CD002243_corticosteroids_sepsis	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	present	Corticosteroids for sepsis	What does this review examine: the benefits and harms of corticosteroids in children and adults with sepsis?	We included randomised controlled trials (RCTs) of corticosteroids versus placebo or usual care (antimicrobials, fluid replacement and vasopressor therapy as needed) in children and adults with sepsis. We also included RCTs of continuous infusion versus intermittent bolus of corticosteroids.	We excluded quasi-randomised trials (i.e.
CD004376_exercise_knee_oa	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	present	Exercise for knee osteoarthritis	We aimed to assess the effects of land-based exercise for people with knee osteoarthritis (OA) by comparing: 1) exercise versus attention control or placebo; 2) exercise versus no treatment, usual care, or limited education; 3) exercise added to another co-intervention versus the co-intervention alone.	We included randomised controlled trials (RCTs) that evaluated exercise for knee OA versus a comparator listed above. Our outcomes of interest were pain severity, physical function, quality of life, participant-reported treatment success, adverse events, and study withdrawals.	In contrast to the previous review, we did not include quasi- randomised controlled trials (defined as trials that use a group allocation method that is not truly random) due to the considerable volume of relevant RCTs.
CD012079_vaginal_prolapse_repair	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD012079_vaginal_prolapse_repair.pdf	present	Vaginal prolapse repair	What does this review determine: the safety and effectiveness of transvaginal mesh or biological grafts compared to native tissue repair or other grafts in the surgical treatment of vaginal prolapse?	Randomised controlled trials (RCTs) comparing different types of vaginal repair (mesh, biological graft, or native tissue).	We excluded quasi-randomised studies (e.g. We excluded cross-over studies, as this design is not valid in the context of this systematic review of surgical interventions. We excluded studies that have been published as abstracts only, without a subsequent peer-reviewed publication within 15 years after abstract publication.
CD013729_dash_cvd	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD013729_dash_cvd.pdf	present	DASH dietary pattern for CVD prevention	What does this review assess: the effects of the DASH diet for the primary and secondary prevention of cardiovascular diseases?	We included randomised controlled trials (RCTs) comparing a DASH diet intervention to no intervention (including usual care), minimal intervention, or other dietary interventions. In the context of this review, 'minimal intervention' includes brief dietary advice or informational leaflets provided during a medical consultation, without a structured dietary intervention. 'Other dietary interventions' include any other dietary programme besides the DASH diet. Participants were adults with or without CVD. The minimum duration of eligible interventions was eight weeks and the minimum follow-up was three months.	Quasi- randomised trials (which use non-random methods of allocation, such as alternating assignments or allocation based on birthdates) were not eligible for inclusion. We excluded trials that examined the effect of the DASH diet intervention in specific pop...
CD014606_digital_cf_infections	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD014606_digital_cf_infections.pdf	present	Digital technology for cystic fibrosis infections	What does this review evaluate: whether digital technology can effectively predict pulmonary exacerbations to allow earlier intervention and improved health outcomes without increasing the burden of treatment in people with CF?	We included randomised controlled trials (RCTs) or quasi-RCTs in people with CF looking at whether digital technology can effectively predict pulmonary exacerbations to allow earlier intervention and improved health outcomes without increasing the burden of treatment.	We did not include studies that enroled participants with CF along with participants with other respiratory conditions, unless the data for participants with CF were available separately.
CD014861_home_iv_cancer_therapy	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD014861_home_iv_cancer_therapy.pdf	present	Home versus hospital IV anti-cancer therapy	What does this review assess: the safety, patient preference for, and cost of IV (including subcutaneous) anti-cancer therapy (chemotherapy or immunotherapy) delivered at home as an alternative to the same IV anti-cancer therapy regimen delivered in a hospital or community setting in adults with cancer?	We included randomised parallel and cross-over trials, conducted in adults (aged 18 years and over) diagnosed with any type and stage of cancer requiring IV anti-cancer chemotherapy or immunotherapy. Eligible studies compared delivery of IV anti-cancer therapy at home with delivery of the same therapy in a hospital setting (as an inpatient or outpatient), or in the community setting (e.g. GP practice, community clinic). We included economic evaluation studies (i.e. cost-effectiveness analyses, cost-utility analyses, cost-benefit analyses) conducted alongside eligible effectiveness studies. Primary outcomes were adverse events, hospital inpatient admission and additional hospital attendance (e.g. emergency department visit) within 48 hours of administration of anti-cancer therapy, IV line complications, participant preference, and cost of delivering IV anti-cancer therapy from a healthcare system perspective. Delivery of intravenous anti-cancer therapy at home versus in hospital or community settings for adults with cancer (Review) Copyright © 2025 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.1 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews	.
CD015148_steroid_carpal_tunnel	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD015148_steroid_carpal_tunnel.pdf	present	Steroid injection for carpal tunnel syndrome	What does this review evaluate: the benefits and harms of corticosteroids injected in or around the carpal tunnel for the treatment of carpal tunnel syndrome compared to no treatment or a placebo injection?	We included randomised controlled trials (RCTs) or quasi-randomised trials of adults with CTS that included at least one comparison group of local injection of corticosteroid (LCI) into the wrist and one group that received a placebo or no treatment.	.
CD015332_cbt_schizophrenia	after_pilot	/Users/liuq13/project-meta-analysis-agent/Cochrane_reviews/after_pilot/CD015332_cbt_schizophrenia.pdf	present	CBT without antipsychotics for schizophrenia	What does this review investigate: the effects of CBT for schizophrenia when administered without concomitant pharmacological treatment with antipsychotics?	We included randomised controlled trials (RCTs) in people with schizophrenia comparing CBT without antipsychotics to standard care, standard care without antipsychotics, or the combination of CBT and antipsychotics.	We excluded quasi-randomised studies, such as those that allocated intervention by alternate days of the week. We did not include trials where the majority of participants had such disorders as bipolar affective disorder or substance-induced psychosis. We excluded trials where participants had organic psychoses, as well as studies that recruited participants with prodromal symptoms or at-risk mental states.
