review_group	review_pdf	review_id	comparison_id	comparison_label_raw	comparison_label_clean	comparison_label_canonical	comparison_label_normalized	comparison_role	parent_comparison_id	intervention	comparator	intervention_canonical	comparator_canonical	comparison_removed_shared_arm_context	analysis_count	analysis_ids	outcome_labels	classification_notes	manual_status
first_pass	Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	CD014811_loop_diuretics_hf	1	Meta-analysis continuous infusion versus bolus injection	continuous infusion versus bolus injection	continuous infusion versus bolus injection	continuous infusion versus bolus injection	main_comparison	.	continuous infusion	bolus injection	continuous infusion	bolus injection	.	5	1.1; 1.2; 1.3; 1.4; 1.5	Net weight loss (kg); All-cause mortality; Length of hospital stay (days); Readmission to hospital following discharge for the longest available follow-up stated in the trials; Acute kidney injury (adverse event)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	CD014811_loop_diuretics_hf	2	Sensitivity analysis - exclusion of trials with high risk of bias	exclusion of trials with high risk of bias	exclusion of trials with high risk of bias	exclusion of trials with high risk of bias	sensitivity_analysis	1	continuous infusion	bolus injection	continuous infusion	bolus injection	.	5	2.1; 2.2; 2.3; 2.4; 2.5	Net weight loss (kg); All-cause mortality; Length of hospital stay (days); Readmission to hospital following discharge for the longest available follow-up stated in the trials; Acute kidney injury (adverse event)	Automatic comparison grouping from analysis_id and comparison label. Classified as sensitivity_analysis of comparison 1 because this review has one prior main comparison. Intervention and comparator inherited from parent comparison.	unverified
first_pass	Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	CD014960_antibiotics_leptospirosis	1	Antibiotics versus placebo or no intervention	Antibiotics versus placebo or no intervention	antibiotics versus placebo or no intervention	antibiotics versus placebo or no intervention	main_comparison	.	Antibiotics	placebo or no intervention	antibiotics	placebo or no intervention	.	3	1.1; 1.2; 1.3	All-cause mortality; Proportion of people with adverse events considered non-serious; Days of hospitalisation	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	CD014960_antibiotics_leptospirosis	2	Antibiotics versus another antibiotic	Antibiotics versus another antibiotic	antibiotics versus another antibiotic	antibiotics versus another antibiotic	main_comparison	.	Antibiotics	another antibiotic	antibiotics	another antibiotic	.	9	2.1; 2.2; 2.3; 2.4; 2.5; 2.6; 2.7; 2.8; 2.9	All-cause mortality (penicillin versus cefotaxime or ceftriaxone); All-cause mortality (penicillin versus doxycycline); All-cause mortality (cefotaxime versus doxycycline); Serious adverse event (nosocomial infection) (penicillin versus cefotaxime); Serious adverse event (nosocomial infection) (penicillin versus doxycycline); Serious adverse event (nosocomial infection) (doxycycline versus cefotaxime); Proportion of people with adverse events considered non-serious (penicillin versus cefotaxime); Proportion of people with adverse events considered non-serious (penicillin versus doxycycline); Proportion of people with adverse events considered non-serious (penicillin versus chloramphenicol)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	1	PTSD symptom severity (immediately after treatment) - as measured by validated scale	PTSD symptom severity (immediately after treatment) - as measured by validated scale	ptsd symptom severity immediately after treatment as measured by validated scale	ptsd symptom severity immediately after treatment as measured by validated scale	main_comparison	.	.	.	.	.	.	4	1.1; 1.2; 1.3; 1.4	PTSD symptom severity: immediately after treatment, SMD (ITT, endpoint); PTSD symptom severity: immediately after treatment, SMD (ITT, endpoint; with data imputation); PTSD symptom severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation); PTSD symptom severity: immediately after treatment, SMD (per-protocol, endpoint)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	2	PTSD symptom severity (change from baseline to immediately after treatment): subgroup analyses	PTSD symptom severity (change from baseline to immediately after treatment): subgroup analyses	ptsd symptom severity change from baseline to immediately after treatment subgroup analyses	ptsd symptom severity change from baseline to immediately after treatment subgroup analyses	subgroup_variant	.	.	.	.	.	.	2	2.1; 2.2	Stimulation frequency: low versus high frequency; Combination treatment status: rTMS alone versus rTMS paired with exposure/psychotherapy	Automatic comparison grouping from analysis_id and comparison label. Classified as subgroup_variant; no parent comparison was auto-linked.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	3	.	.	.	.	main_comparison	.	.	.	.	.	.	1	3.1		Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	4	PTSD symptom severity (4 to 12 weeks after treatment) - as measured by validated scale	PTSD symptom severity (4 to 12 weeks after treatment) - as measured by validated scale	ptsd symptom severity 4 to 12 weeks after treatment as measured by validated scale	ptsd symptom severity 4 to 12 weeks after treatment as measured by validated scale	main_comparison	.	.	.	.	.	.	1	4.1	PTSD symptom severity: change from baseline to 4 to 12 weeks after treatment (ITT)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	5	.	.	.	.	main_comparison	.	.	.	.	.	.	1	5.1		Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	6	Depression severity (immediately after treatment) - as measured by validated scale	Depression severity (immediately after treatment) - as measured by validated scale	depression severity immediately after treatment as measured by validated scale	depression severity immediately after treatment as measured by validated scale	main_comparison	.	.	.	.	.	.	3	6.1; 6.2; 6.3	Depression severity: immediately after treatment, SMD (ITT, endpoint); Depression severity: immediately after treatment, SMD (ITT, endpoint, with data imputation); Depression severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	7	Anxiety severity (immediately after treatment) - as measured by validated scale	Anxiety severity (immediately after treatment) - as measured by validated scale	anxiety severity immediately after treatment as measured by validated scale	anxiety severity immediately after treatment as measured by validated scale	main_comparison	.	.	.	.	.	.	2	7.1; 7.2	Anxiety severity: immediately after treatment, SMD (ITT, endpoint); Anxiety severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation)	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	CD015751_lubricating_drops_lens	1	Lubricants versus no treatment	Lubricants versus no treatment	lubricants versus no intervention	lubricants versus no intervention	main_comparison	.	Lubricants	no treatment	lubricants	no intervention	.	6	1.1; 1.2; 1.3; 1.4; 1.5; 1.6	Contact lens discomfort; Corneal fluorescein staining; Conjunctival redness; Participant discontinuation; Comfortable lens wear time (hours); Other dry eye symptoms	Automatic comparison grouping from analysis_id and comparison label.	unverified
first_pass	Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	CD015751_lubricating_drops_lens	2	Lubricants versus saline	Lubricants versus saline	lubricants versus saline	lubricants versus saline	main_comparison	.	Lubricants	saline	lubricants	saline	.	3	2.1; 2.2; 2.3	Contact lens discomfort; Participant discontinuation; Comfortable lens wear time (hours)	Automatic comparison grouping from analysis_id and comparison label.	unverified
