Study,Year,Data source,ID: CRS,Char: Patient sampling,Char: Patient characteristics and setting,Char: Index test,Char: Target condition and reference standard(s),Char: Flow and timing,Char: Comparative,Char: Notes,Cov: Year,Cov: Continent,Cov: Type of study report,Cov: Study design,Cov: Randomized/non-randomized,Cov: Total number of patients,Cov: Patients analyzed,Cov: Exclusion criteria,Cov: Age,Cov: % male,Cov: Race,Cov: % cirrhosis,Cov: % HCV,Cov: % HBV,Cov: % alcoholic aetiology,Cov: % NAFLD,Cov: MELD,Cov: % Child Pugh A,Cov: % Child Pugh B,Cov: % Child Pugh C,Cov: % Child Pugh B+C,Cov: % CSPH,Cov: % SPH,Cov: Operator,Cov: Index test 1,Cov: Index test 2,Cov: Combination,Cov: Blinding the operators (HVPG),Cov: Blinding the operators (LSM/SSM),Cov: Time interval LSM/SSM-HVPG,Cov: Type of probe used,Cov: % oesophageal varices,Cov: Viral (HBV+HCV),Cov: Viral aetiology more than 80%,Cov: CSPH more than 50%,Cov: SPH more than 25%,Cov: Child Pugh A more than 75%,Cov: SSM VCTE only - LSM 50Hz vs SSM 100Hz,Cov: SSM VCTE only (LSM 50Hz) - M probe vs XL probe,Cov: Unsuccessful or indeterminate results more than 20%,Cov: Index test 3,Cov: Index test 4
Grgurević 2016,2016,PUB,26589936,"<p>""All patients had been scanned by transabdominal ultrasound prior to HVPG measurement including elastographic assessment of liver and spleen stiffness (LS and SS) by 2 different methods (Transient elastography (TE; Fibroscan, Echosense) and Real-time 2-dimensional shear wave elastography (RT-2D-SWE; Aixplorer US system, Supersonic imagine).""&nbsp;</p><p>""Twenty (20) patients (14 male; median age 62 (34-74) years; 8 Non Alcoholic Fatty Liver Disease, 6 Alcoholic Liver Disease, 6 other aetiologies; median fibrosis stage 6 (0-6), mean 4.75+/-1.7 according to Ishak) consecutively underwent HVPG measurement (median value 10.25mmHg (1.5-22.4)). No major adverse event occurred in relation to HVPG procedure. Liver cirrhosis was histologically confirmed in 14/20 (70%) patients, and clinically significant portal hypertension (CSPH&gt;=10 mmHg) in 11/20 (55%). TE used M probe in 55% and XL probe in 45% of patients.""</p><p>There is no data on exclusion criteria for participant's selection.</p>","<p>""Twenty (20) patients (14 male; median age 62 (34-74) years; 8 Non Alcoholic Fatty Liver Disease, 6 Alcoholic Liver Disease, 6 other aetiologies; median fibrosis stage 6 (0-6), mean 4.75+/-1.7 according to Ishak) consecutively underwent HVPG measurement (median value 10.25mmHg (1.5-22.4)). No major adverse event occurred in relation to HVPG procedure. Liver cirrhosis was histologically confirmed in 14/20 (70%) patients, and clinically significant portal hypertension (CSPH&gt;=10 mmHg) in 11/20 (55%).""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>No report of conflict of interests and funding.</p>,2016.0,Europe,Abstract,Retrospective,Non-randomized,20.0,20.0,No data,62.0,70.0,No data,70.0,,,30.0,40.0,,,,,,55.0,,No data,LSM by VCTE,SSM by VCTE,None,No data,No data,No data,LSM@50Hz probe M-XL,,,No data on viral aetiology prevalence,Yes,No SPH analysis,No data on Child Pugh classification,LSM 50Hz,No data on probe used,No data,LSM by 2D-SWE,SSM by 2D-SWE
Grgurević 2022,2022,PUB,26589938,"<p>""Eligible for inclusion was consecutive adults (age &gt; 18 years) meeting the following criteria: (a) presence of compensated chronic liver disease and suspected of having cACLD based on LSM ≥ 10 kPa by TE, or based on morphological signs suggestive of cACLD on ultrasound (US) examination (coarse liver parenchyma with irregular liver surface or irregular interface of the hepatic veins, but no overt signs of CSPH such as presence of portosystemic collaterals, or signs of decompensation presence of ascites, not otherwise visible by physical examination); (b) provided signed informed consent. Patients with congestive liver disease due to right-sided heart failure, portal vein thrombosis, extrahepatic biliary obstruction, liver tumours and ALT &gt; 5x ULN were excluded.""</p><p>""Patients underwent a standardised clinical work-up to define the aetiology of liver disease including an interview on their alcohol consumption (AUDIT-C), medication history, presence of metabolic syndrome components (central obesity, arterial hypertension, dyslipidaemia and decreased glucose tolerance or presence of diabetes), screening for viral and autoimmune liver disease, haemochromatosis and Wilson's disease. Included patients underwent HVPG measurement and transjugular liver biopsy (in the same procedure), as well as LSM and SSM by 2DSWE and TE on the same day. Elastographic measurements preceded HVPG measurements.""</p><p>""Seventy-six patients were included: 40 (52.6%) with HVPG ≥ 10 mmHg (CSPH). The number of valid LSM and SSM measurements was 74 and 63 for 2DSWE, and 76 and 61 for TE respectively. 2DSWE and TE values appeared correlated, but the agreement was poor: LSM and SSM by 2DSWE were on average 2.7 and 4.3 kPa, respectively, lower than the values measured by TE.""</p>","<p>""A cross-sectional study was conducted between 1 January 2017 and 31 December 2019 at University hospital Dubrava, Zagreb.""</p><p>""Seventy-six patients were included: 40 (52.6%) with HVPG ≥ 10 mmHg (CSPH), 13 (17.1%) with HVPG 6–9 mmHg and 23 (30.3%) with HVPG &lt; 6 mmHg. Male gender prevailed, and alcohol was overall the most prevalent cACLD cause, particularly among patients with CSPH. Sixty-five patients were considered to have cACLD based on LSM ≥ 10 kPa by TE, and 59 were histologically confirmed as such, that is TE correctly classified 59/65 patients (90.8%). In addition, 11 patients were included based on morphological criteria alone, and cACLD was confirmed by histology in only 2 of them; that is, correct classification by morphological criteria was achieved in 2/11 (18.2%).""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Included patients underwent HVPG measurement and transjugular liver biopsy (in the same procedure), as well as LSM and SSM by 2DSWE and TE on the same day. Elastographic measurements preceded HVPG measurements. The number of valid LSM and SSM measurements was 74 and 63 for 2DSWE, and 76 and 61 for TE respectively. 2DSWE and TE values appeared correlated, but the agreement was poor: LSM and SSM by 2DSWE were on average 2.7 and 4.3 kPa, respectively, lower than the values measured by TE.""</p>",,"<p>""This study was in a part supported by Research Grant from The Adris Foundation, Knowledge and Discovery Programme, awarded to the first author at 6th October 2018.""&nbsp;</p><p>""Ivica Grgurevic received lecture fees from Echosens, Ferring, Gilead, travel grants from AbbVie and served as the advisory board member for General electric. Ivana Mikolasevic received grant No B174 from Echosens for a scientific research project. James O’Beirne has received speaker fees and served in advisory boards for BMS, Gilead, Roche, GORE and Norgine. Massimo Pinzani is co-founder and shareholder of Engitix Therapeutics Ltd., London, United Kingdom, and served in Advisory Boards for Industry in the past 12 months (Astra Zeneca, AbbVie, Resolution Therapeutics, Limma Biotech and ChemoMab). Other authors have nothing to disclose.""</p>",2022.0,Europe,Full-text,Prospective,Non-randomized,76.0,76.0,No exclusion criteria met,62.0,78.9,No data,69.7,,,36.8,30.3,,,,,,52.6,,Experienced physicians,LSM by VCTE,SSM by VCTE,None,No data,No data,< one week,LSM@50Hz probe M-XL,42.9,14.5,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,LSM by 2D-SWE,SSM by 2D-SWE
He 2022,2022,PUB,26589940,"<p>""This is a prospective multi-center study (NCT05251272). Patients with well-characterized compensated cirrhosis undergoing a 100 Hz specific FibroScan® to evaluate SSM and LSM were consecutively enrolled between August 2021 and March 2022.""</p><p>There is no data on exclusion criteria for participant's selection.</p>","<p>""A total of 101 patients (71 male) with a mean age of 52 ± 9 years were recruited from 5 university centers, and 50 (49.5%) patients had CSPH.""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>No report of conflict of interests and funding.</p>,2022.0,Other,Abstract,Prospective,Non-randomized,101.0,101.0,No data,52.0,70.0,No data,100.0,,,,,,,,,,49.5,,No data,LSM by VCTE,None,LSM + SSM (VCTE),No data,No data,No data,LSM@100Hz,,,No data on viral aetiology prevalence,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Hirooka 2022,2022,PUB,26589942,"<p>""This cross‐sectional study included patients diagnosed with chronic liver disease who underwent both ultrasonographic examinations of the spleen and EGD between September 2018 and December 2021. The inclusion criteria were as follows: (i) aged 20–90 years, (ii) Eastern Cooperative Oncology Group performance status of 0–2, (iii) the ability to follow instructions to control breathing, and (iv) no history of treatment with EGV. Notably, sex was not a consideration in the selection process. The exclusion criteria were as follows: (i) a history of splenectomy (n = 2), (ii) refractory ascites in which the spleen stiffness could not be measured by ultrasound (n = 6), (iii) absence of EGD data (n = 11), and (iv) spleen width &lt;4 cm (n = 5). Moreover, five patients were excluded because of unreliable measurements. Hence, a total of 187 patients were enrolled in this study (Figure 1). Of these, 81 consecutive patients were enrolled in the pilot set wherein the HVPG was measured to evaluate the diagnostic accuracy of elastography for HVPG at 12 mmHg or EGV and to determine the cut‐off level for screening HREGV.""</p>","<p>""This cross‐sectional study included patients diagnosed with chronic liver disease who underwent both ultrasonographic examinations of the spleen and EGD between September 2018 and December 2021.""</p>","<p>LSM and SSM by 2D-SWE (SWS; shear wave speed), and LSM and SSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>Target condition: SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>Gastroscopy and HVPG were performed within one week of elastography techniques. Five patients were excluded because of unreliable measurements.&nbsp;</p>,,"<p>The authors declare that they have no conflict of interest.</p><p>""This work was supported in part by the Japan Society for the Promotion of Science KAKENHI (Grant Numbers 21K07701 and 21K08008 to Masashi Hirooka and Yoichi Hiasa, respectively), and from AMED (Grant Number JP22fk0210113 to Yoichi Hiasa.""</p>",2022.0,Other,Full-text,Retrospective,Non-randomized,216.0,81.0,No exclusion criteria met,71.0,74.1,No data,,38.3,13.6,,,,80.25,17.3,2.5,19.8,,38.3,Experienced physicians,LSM by VCTE,SSM by VCTE,None,No data,No data,< one week,LSM@50Hz probe M,55.55,51.9,No,No CSPH analysis,Yes,Yes,LSM 50Hz,M probe,No,LSM by 2D-SWE,SSM by 2D-SWE
Hong 2013,2013,PUB,26589944,"<p>""Fifty-nine consecutive patients with cirrhosis (48 men and 11 women, mean age 49.5±8.9; age range 29-69 years) underwent HVPG measurement between February 1, 2009 and February 1, 2010 upon referral to the hemodynamic laboratory of our institution. All patients had previous histopathological confirmation of cirrhosis (METAVIR F4) or a diagnosis of cirrhosis suspected on the basis of standard clinical, ultrasonographic, and biochemical parameters. Exclusion criteria were an age younger than 19 or older than 75 years, shock status requiring a vasopressor, active infection (e.g., spontaneous bacterial peritonitis), acute renal failure of any cause, hepatocellular carcinoma or a history of another primary malignancy within 3 years, clinically relevant coronary artery disease (NYHA functional angina classification III/IV), congestive heart failure NYHA III/IV, clinically relevant cardiomyopathy, history of myocardial infarction in the past 1 year, poorly controlled hypertension (blood pressure &gt;150/100) mmHg, transaminases above tenfold the upper limit of normal, ongoing antiviral therapy, the use of vasoactive drugs, including beta-blockers, diuretics, and anti-inflammatory drugs, pregnancy or lactation, involvement in another study within 90 days, and medical or psychological conditions that would not permit the subject to complete the study or sign informed consent.""</p>","<p>""Fifty-nine consecutive patients with cirrhosis (48 men and 11 women, mean age 49.5±8.9; age range 29-69 years) underwent HVPG measurement between February 1, 2009 and February 1, 2010 upon referral to the hemodynamic laboratory of our institution. The characteristics of the patients are summarized in Table 1. The etiology of cirrhosis was classified as alcohol (36, 61.0%), hepatitis B virus (13, 22.0%), alcohol with hepatitis B virus (5, 8.5%), alcohol with hepatitis C virus (2, 3.4%), and cryptogenic cirrhosis (3, 5.1%). The mean Child-Pugh and MELD scores were 6.5±1.8 and 9.6±3.7 (range 6-21), respectively.""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,"<p>The authors have no conflicts to disclose.</p><p>""This study was supported by a grant of the Korea Healthcare technology R&amp;D Project, Ministry of Health and Welfare, (HI10C2020).""</p>",2013.0,Other,Full-text,Retrospective,Non-randomized,59.0,59.0,No exclusion criteria met,49.5,81.0,No data,100.0,3.4,30.5,61.0,,9.6,,,,,61.0,52.5,Experienced physicians,LSM by VCTE,None,None,No data,No data,No data,LSM@50Hz probe M,,33.9,No,Yes,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Jachs 2022,2022,PUB,26589946,"<p>""This retrospective analysis of prospectively collected data investigated consecutive patients who underwent HVPG measurement at the Vienna Hepatic Hemodynamic Lab (Division of Gastroenterology and Hepatology, Medical University of Vienna) between 2004 and 2021 under standardized conditions. We only included clinically stable outpatients with cACLD (defined by LSM ≥ 10 kPa, absence of previous hepatic decompensation, and Child-Pugh stage A in whom data on LSM, PLT, and VWF was available).""</p>","<p>""In total, 302 patients with cACLD were included in the study. The cohort building process is depicted in Supplementary Figure 1. The median age was 54.3 years and 69.2% of included patients were male. The predominant etiology was viral hepatitis (50.7%), followed by alcoholic liver disease (15.2%), and nonalcoholic steatohepatitis (13.2%).""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. The investigators were blinded for the results of index tests and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index tests and reference standard.</p>","<p>""LSM as well as HVPG measurements were conducted at the same day and after a fasting period of at least 4 hours.""</p>",,<p>The authors disclose no conflicts.</p>,2022.0,Europe,Full-text,Retrospective,Non-randomized,302.0,302.0,No exclusion criteria met,54.0,69.2,No data,100.0,,,15.2,13.2,9.0,100.0,0.0,0.0,0.0,62.3,,No data,LSM by VCTE,None,None,Yes,Yes,< one week,Non-specified,43.0,50.7,No,Yes,No SPH analysis,Yes,No SSM analysis,No SSM analysis,No data,None,None
Jachs 2023,2023,PUB,26589948,"<p>""All HBV/HDV-coinfected, i.e., anti-HDV seropositive, cACLD (LSM ≥10 kPa and/or METAVIR F3/4 fibrosis on histology) patients without previous hepatic decompensation who underwent prospective characterization by paired HVPG and non-invasive test (NIT) assessment at the Vienna Hepatic Hemodynamic Lab of the Medical University of Vienna or at Hannover Medical School between 2013 and 2023 were retrospectively included in the main cohort and analyzed. Only patients who were not currently undergoing HDV-targeted antiviral treatment were included. If patients underwent more than one measurement during the study period, only the first measurement was considered for this analysis. Patients were excluded if HVPG measurements were deemed technically unreliable, or if they were on NSBB treatment and showed HVPG values below 10 mmHg. Patients who were on NSBB at the time of HVPG measurement but exhibited HVPG ≥10 mmHg and had varices were included. The 20 included Hanoverian patients underwent HVPG and NIT assessment as part of the prospective, observational IMPRHOVE-D study. The 31 included Viennese patients were identified by manual search of the local Viennese HVPG database. SSM was conducted and available in all Viennese patients who underwent prospective characterization after 2019 (n=20).""</p>","<p>""All HBV/HDV-coinfected, i.e., anti-HDV seropositive, cACLD (LSM ≥10 kPa and/or METAVIR F3/4 fibrosis on histology) patients without previous hepatic decompensation who underwent prospective characterization by paired HVPG and non-invasive test (NIT) assessment at the Vienna Hepatic Hemodynamic Lab of the Medical University of Vienna or at Hannover Medical School between 2013 and 2023 were retrospectively included in the main cohort and analyzed. Fifty-three HBV/HDV-cACLD patients were screened for inclusion in the main cohort. One patient was excluded owing to unreliable HVPG results due to vein-vein communications. Another patient was excluded because of ongoing NSBB treatment and HVPG levels below 10 mmHg. Ultimately, the final study cohort comprised 51 patients (n=31 from Vienna, n=20 from Hannover). The median age was 49.0 (41.5-56.3) years, and 51.0% of patients were male. HDV-RNA was detectable in 90.2% of patients. The prevalence of CSPH was 62.7%. The median PLT was 100 (58-150) G/L, and many patients had varices (42.2%) or splenomegaly (64.7%).""</p>","<p>""LSM was assessed by VCTE (FibroScan, Echosens, Paris, France) according to international recommendations that were followed in both centers. SSM was assessed applying 2D shear-wave elastography (Aixplorer, SuperSonic Imagine, Aixen-Provence, France) in Viennese patients according to a local SOP on the same day as HVPG measurement.""</p>","<p>""HVPG measurements were conducted in fasting condition according to international recommendations. Briefly, upon punction of the right internal jugular vein under local anesthesia, free and wedged hepatic venous pressure were measured in triplicate. HVPG was obtained by subtracting the free hepatic venous pressure from wedged hepatic venous pressure, and the mean of three measurements represented the final value. CSPH was defined as HVPG ≥10 mmHg.""</p>","<p>""All NIT were evaluated on the same day as HVPG measurement in Vienna. In Hannover, HVPG measurements were performed after a maximum of three months following NIT assessment.""</p>",,"<p>The authors declare no conflict of interest regarding this study.</p><p>""No specific funding was received for this study. Lisa Sandmann received partial funding by PRACTIS – Clinician Scientist Program of Hannover Medical School, funded by the German Research Foundation (DFG, ME 3696/3-1, RAW).""</p>",2023.0,Europe,Full-text,Retrospective,Non-randomized,53.0,51.0,NSBB,49.0,51.0,No data,,11.8,100.0,,,9.0,,,,,62.7,,No data,LSM by VCTE,SSM by 2D-SWE,None,No data,No data,> one week,Non-specified,42.2,100.0,Yes,Yes,No SPH analysis,No data on Child Pugh classification,No data on probe used,No data on probe used,No,None,None
Jansen 2017,2017,PUB,26589950,"<p>""This prospective multicenter study included 158 patients of which 106 patients had CSPH. Patients were enrolled between September 2013 and May 2015 in the Department of Internal Medicine I, University of Bonn, Bonn, Germany, in the Department of Gastroenterology and Hepatology, Odense University Hospital, Odense, Denmark and in the Department of Gastroenterology and Hepatology, University Hospital Antwerp, Antwerp, Belgium. Inclusion criteria were liver cirrhosis, indication for portal pressure gradient measurement, SWE measurements within 48 hours before or after pressure gradient measurement. Patients with cardiac failure were not included into this study. Exclusion criteria were absence of indication for pressure gradient measurement, not accurate SWE measurement (see below), time span between SWE measurement and pressure gradient measurement longer than 48 hour. Healthy subjects were not included in the study. Liver stiffness by SWE was measured in 155 patients, spleen stiffness in 112 patients, and 109 patients received both L -SWE and S -SWE (Figure 1). Reasons for the missing S -SWE values were technical failure in 18.8% of the cases (n=24) and missing S -SWE data from one center (n=19).""</p>","<p>""The patients included in the study were predominantly male (61.4%) with a mean age of 56 years and a range of 18 – 80 years. The etiology of chronic liver disease was alcohol in the majority of the patients (56%), non -alcoholic steatohepatitis (NASH) in 27 patients (17%), chronic viral hepatitis in 12 patients (8%) and other etiologies in the rest of patients (19%). Mean Child-Pugh score was 7 with a majority of patients in Child -Pugh class A (62.7%), 45 patients with Child B and 14 with Child C liver cirrhosis.""</p>",<p>LSM and SSM by 2D-SWE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p><p>""In 109 patients, HVPG data were acquired as formerly described 4,15. The right internal jugular was punctured under local anesthesia and ultrasound guidance. Under continuous radiological control, a balloon catheter was placed in a major hepatic vein. To calculate HVPG, three repeated measurements of free and wedged hepatic venous pressure were performed.""</p><p>""In 49 patients pressure measurements were performed during insertion of a transjugular intrahepatic portosystemic shunt. A pressure transducer system (Combitrans, Braun Melsung, Germany) and a multichannel monitor (Sirecust, Siemens, Germany) were used to measure portal and hepatic venous pressure invasively, and three repeated measurements were performed. The difference between these pressures was defined as the portal systemic pressure gradient. Arterial pressure and heart rate were monitored non-invasively. To simplify understanding, we used the term pressure gradient for HVPG and portal systemic pressure gradient.""</p>","<p>""SWE measurements were performed within 48 hours before or after pressure gradient measurement. Liver stiffness by SWE was measured in 155 patients, spleen stiffness in 112 patients, and 109 patients received both L -SWE and S -SWE (Figure 1). Reasons for the missing S -SWE values were technical failure in 18.8% of the cases (n=24) and missing S -SWE data from one center (n=19).""</p>",,"<p>All authors have nothing to disclosure.</p><p>""Grant support: This study was supported by grants from the Deutsche Forschungsgemeinschaft (SFB TRR57 to P18), the H. J. &amp; W. Hector Stiftung (M60.2), Ernst -Bertha -Grimmke -Stiftung (6/15) and European Union’s Horizon 2020 research and innovation programme (No 668031). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.""</p>",2017.0,Europe,Full-text,Prospective,Non-randomized,158.0,155.0,No exclusion criteria met,56.0,61.4,No data,,,,56.0,17.0,10.0,62.7,28.5,8.9,37.4,67.1,,Experienced physicians,LSM by 2D-SWE,SSM by 2D-SWE,LSM + SSM (2D-SWE),No data,No data,< one week,Not VCTE,,8.0,No,Yes,No SPH analysis,No,No SSM analysis,No SSM analysis,No,None,None
Jindal 2022,2022,PUB,26589952,"<p>""This was a retrospective analysis of a prospectively maintained database of patients with cACLD of diferent etiologies with available baseline clinical, anthropometric, biochemical, hepatic hemodynamic parameters, and valid measurements of LSM attending Institute of Liver and Biliary Sciences, New Delhi, India from a period of 2010–2019. Patients with compensated cirrhosis with liver stifness measurement (LSM) more than 10 kPa with all these available parameters were screened from the database. Those with (a) LSM less than 10 kPa, (b) past clinical decompensations like variceal bleeding, ascites, acute kidney injury, and hepatic encephalopathy, (c) invalid measurements of LSM and HVPG at baseline, (d) serum bilirubin more than 5 mg/dl, (e) presence of portal vein thrombosis and additional extrahepatic causes of portal hypertension, hepatocellular carcinoma at baseline, and (f) acute on chronic liver failure were excluded from the study. None of the included patients were maintained on beta-blockers at the time of LSM or HVPG measurements to avoid underestimation of portal pressures.""</p>","<p>""A total of 626 patients of cACLD with available paired HVPG/ LSM measurements, documented LSM &gt; 10 kPa, and no prior decompensations were included. Patients had a mean (±SD) age of 50.8±12.4 years, with male predominance (161 females: 25.7%). The most common etiology of liver disease was ALD (n=190, 30.3%), followed by NASH (n=165, 26.4%), HCV (n=102, 16.6%), and HBV (n=62, 10.2%). One hundred and seven patients had other etiologies like autoimmune hepatitis and cryptogenic cirrhosis. None of the patients had non-cirrhotic portal fibrosis or portosinusoidal vascular disease. All patients with NASH had cirrhosis on biopsy. Four hundred eighty patients (76.6%) had HVPG ≥10 mmHg, consistent with the diagnosis of CSPH.""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,"<p>None of the authors had any conficts of interests.</p>
<p>No funding support.</p>",202.0,Other,Full-text,Retrospective,Non-randomized,626.0,626.0,No exclusion criteria met,50.8,74.3,No data,,16.6,10.2,30.3,26.4,,,,,,76.7,,Experienced physicians,LSM by VCTE,None,None,No data,No data,No data,Non-specified,,26.8,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Kennedy 2022,2022,PUB,26589954,"<p>""This HIPAA-compliant prospective single-center study was approved by our local Institutional Review Board. Between March 2018 and January 2020, signed informed consent was obtained from 37 patients. Inclusion criteria were adult patients with liver disease scheduled for clinically indicated HVPG measurement and transjugular liver biopsy or transjugular intrahepatic portosystemic shunt (TIPS) placement within 6 months of research MRI and ultrasound (US) elastography. Exclusion criteria were history of liver transplant; initiation of beta-blocker therapy within 6 months of MRI (which may cause hemodynamic variation owing to fluctuating dosage); portal vein thrombosis; and contraindications to MRI. One patient was excluded from the study due to an interval &gt; 6 months between HVPG measurement and imaging. The indications for HVPG and transjugular liver biopsy were characterization of abnormal liver function tests (n = 23), confirmation of PH (n = 10), TIPS placement (n = 2, due to refractory ascites), and ascites (n = 1).""</p>","<p>""The final cohort consisted of 36 patients (mean age 54.8 ± 13.8 years, M/F 22/14). Patient characteristics are summarized in Table 1. Mean HVPG was 7.2 ± 5.0 mmHg (range 0–18 mmHg). Normal HVPG (no PH) was observed in 14 patients (39%), while 22 patients (61%) were classified as having PH (HVPG &gt; 5 mmHg), including 10 with CSPH (28% of the total cohort).""</p>",<p>SSM by 2D-SWE and MRE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""The interval between imaging and HVPG measurement was 24.7 ± 22.8 days (range 0–102 days). Immediately before/after the MRI, patients underwent an SWE exam.""</p>",,"<p>""The authors of this manuscript declare relationships with the following companies: Bradley D. Bolster is an employee of Siemens Medical Solutions Inc. USA.""</p><p>""This study has received funding from NIDDK grant 1R01DK113272.""</p>",2022.0,Other,Full-text,Prospective,Non-randomized,36.0,33.0,Multiple,,,No data,,,,,,,,,,,30.3,,Experienced physicians,SSM by 2D-SWE,SSM by MRE,None,Yes,Yes,> one week,Not VCTE,,,No data on viral aetiology prevalence,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Kim 2015,2015,PUB,26589956,"<p>""All patients had previous histological confirmation of cirrhosis or a diagnosis of cirrhosis suspected on the basis of standard clinical, imaging and biochemical parameters. Enrolled patients were in the non-critically ill condition, which mean stable haemodynamic parameters, no uncontrolled infection, no acute bleeding less than 1 month and were no active drinkers. Patients in the following states were excluded: use of vasoactive drugs (n = 5), presence of hepatocellular carcinoma beyond the Milan criteria (n = 1), bilirubin levels above 10 mg (n = 7) or pregnancy. Two patients with failed measurement of LS because of non-cooperation were also excluded, resulting in LSM failure rate of 1.7% (2/115). Eight patients with incorrect HVPG measurement because of a veno-venous shunt (n = 3), inferior vena cava (IVC) stenosis (n = 1), or eccentric wedging of the catheter (n = 4) were excluded. In total, the data of 92 patients were eligible for analysis.""</p>","<p>""Clinical data of 115 cirrhotic patients admitted for haemodynamic measurement were consecutively collected between December 2010 and December 2012. Laboratory parameters and LS measurements using SWE were obtained on the same day of HVPG measurement. HVPG measurement was performed in patients with previous history of variceal bleeding or impending sign of variceal bleeding to evaluate the presence of PH and to assess the clinical course of PH. All patients had previous histological confirmation of cirrhosis or a diagnosis of cirrhosis suspected on the basis of standard clinical, imaging and biochemical parameters.""</p><p>""The baseline characteristics of 92 consecutively enrolled patients (63 male, mean age 53 ± 11.9 years) at the time of HVPG measurement and LSM by SWE are summarized in Table 1. The main causes of cirrhosis were alcohol (n = 52, 56.5%), hepatitis B or C virus (n = 26, 28.3%) and mixed (n = 4, 4.3%). The median Child-Turcott–Pugh (CTP) and model for the end-stage liver disease (MELD) score were 7 (IQR, 6–8) and 9 (IQR, 7-14) respectively. The median HVPG and LS values were 15.1 (IQR 11.2–18.2) mmHg and 26.7 (IQR 14.9–37.6) kPa respectively. CSPH and SPH were found in 77 (83.7%) and in 66 (71.5%) among 92 patients.""</p>",<p>LSM by 2D-SWE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target conditions: CSPH and SPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""Laboratory parameters and LS measurements using SWE were obtained on the same day of HVPG measurement.""</p>",,"<p>""The authors do not have any disclosures to report.""</p><p>""This study was partly supported by the research fund of the Hanyang University (HY-2010-G).""</p>",2015.0,Other,Full-text,Prospective,Non-randomized,115.0,92.0,No exclusion criteria met,52.0,68.5,No data,100.0,7.6,20.7,56.5,,9.0,48.9,39.1,12.0,51.1,83.7,71.7,Experienced physicians,LSM by 2D-SWE,None,None,Yes,Yes,< one week,Not VCTE,77.8,28.3,No,Yes,Yes,No,No SSM analysis,No SSM analysis,No,None,None
